Preparing 383 development-only CausalIntegrationSFTV1 cases with 2 workers
20/383 (5.2%) eligible=4 excluded=16 elapsed_s=18.5
39/383 (10.2%) eligible=10 excluded=29 elapsed_s=34.3
58/383 (15.1%) eligible=13 excluded=45 elapsed_s=52.0
77/383 (20.1%) eligible=23 excluded=54 elapsed_s=72.2
96/383 (25.1%) eligible=30 excluded=66 elapsed_s=90.4
115/383 (30.0%) eligible=44 excluded=71 elapsed_s=128.7
135/383 (35.2%) eligible=60 excluded=75 elapsed_s=187.6
154/383 (40.2%) eligible=77 excluded=77 elapsed_s=222.2
173/383 (45.2%) eligible=95 excluded=78 elapsed_s=268.9
192/383 (50.1%) eligible=110 excluded=82 elapsed_s=309.9
211/383 (55.1%) eligible=125 excluded=86 elapsed_s=345.2
230/383 (60.1%) eligible=136 excluded=94 elapsed_s=369.5
249/383 (65.0%) eligible=151 excluded=98 elapsed_s=394.8
269/383 (70.2%) eligible=163 excluded=106 elapsed_s=419.2
288/383 (75.2%) eligible=177 excluded=111 elapsed_s=443.9
307/383 (80.2%) eligible=193 excluded=114 elapsed_s=458.3
326/383 (85.1%) eligible=212 excluded=114 elapsed_s=471.2
345/383 (90.1%) eligible=231 excluded=114 elapsed_s=483.7
364/383 (95.0%) eligible=250 excluded=114 elapsed_s=495.9
383/383 (100.0%) eligible=269 excluded=114 elapsed_s=508.0
