1/134 (0.7%) ok=1 base_ac1=1.0000 elapsed_s=11.3
2/134 (1.5%) ok=2 base_ac1=0.5000 elapsed_s=22.5
3/134 (2.2%) ok=3 base_ac1=0.6667 elapsed_s=32.8
4/134 (3.0%) ok=4 base_ac1=0.7500 elapsed_s=44.3
5/134 (3.7%) ok=5 base_ac1=0.8000 elapsed_s=55.2
6/134 (4.5%) ok=6 base_ac1=0.6667 elapsed_s=64.8
7/134 (5.2%) ok=7 base_ac1=0.7143 elapsed_s=72.8
8/134 (6.0%) ok=8 base_ac1=0.6250 elapsed_s=82.2
9/134 (6.7%) ok=9 base_ac1=0.6667 elapsed_s=92.0
10/134 (7.5%) ok=10 base_ac1=0.6000 elapsed_s=100.5
11/134 (8.2%) ok=11 base_ac1=0.5455 elapsed_s=110.6
12/134 (9.0%) ok=12 base_ac1=0.5833 elapsed_s=119.9
13/134 (9.7%) ok=13 base_ac1=0.6154 elapsed_s=128.8
14/134 (10.4%) ok=14 base_ac1=0.5714 elapsed_s=139.8
15/134 (11.2%) ok=15 base_ac1=0.6000 elapsed_s=148.7
16/134 (11.9%) ok=16 base_ac1=0.6250 elapsed_s=158.7
17/134 (12.7%) ok=17 base_ac1=0.5882 elapsed_s=170.0
18/134 (13.4%) ok=18 base_ac1=0.5556 elapsed_s=180.8
19/134 (14.2%) ok=19 base_ac1=0.5263 elapsed_s=188.9
20/134 (14.9%) ok=20 base_ac1=0.5000 elapsed_s=198.4
21/134 (15.7%) ok=21 base_ac1=0.4762 elapsed_s=208.8
22/134 (16.4%) ok=22 base_ac1=0.4545 elapsed_s=219.4
23/134 (17.2%) ok=23 base_ac1=0.4348 elapsed_s=231.1
24/134 (17.9%) ok=24 base_ac1=0.4167 elapsed_s=241.7
25/134 (18.7%) ok=25 base_ac1=0.4000 elapsed_s=252.2
26/134 (19.4%) ok=26 base_ac1=0.4231 elapsed_s=263.4
27/134 (20.1%) ok=27 base_ac1=0.4444 elapsed_s=272.5
28/134 (20.9%) ok=28 base_ac1=0.4286 elapsed_s=283.8
29/134 (21.6%) ok=29 base_ac1=0.4138 elapsed_s=293.2
30/134 (22.4%) ok=30 base_ac1=0.4000 elapsed_s=302.3
31/134 (23.1%) ok=31 base_ac1=0.3871 elapsed_s=312.0
32/134 (23.9%) ok=32 base_ac1=0.3750 elapsed_s=324.3
33/134 (24.6%) ok=33 base_ac1=0.3636 elapsed_s=333.2
34/134 (25.4%) ok=34 base_ac1=0.3529 elapsed_s=342.6
35/134 (26.1%) ok=35 base_ac1=0.3429 elapsed_s=351.7
36/134 (26.9%) ok=36 base_ac1=0.3333 elapsed_s=362.9
37/134 (27.6%) ok=37 base_ac1=0.3243 elapsed_s=372.2
38/134 (28.4%) ok=38 base_ac1=0.3421 elapsed_s=381.0
39/134 (29.1%) ok=39 base_ac1=0.3333 elapsed_s=390.1
40/134 (29.9%) ok=40 base_ac1=0.3250 elapsed_s=400.6
41/134 (30.6%) ok=41 base_ac1=0.3171 elapsed_s=411.6
42/134 (31.3%) ok=42 base_ac1=0.3333 elapsed_s=420.2
43/134 (32.1%) ok=43 base_ac1=0.3488 elapsed_s=429.1
44/134 (32.8%) ok=44 base_ac1=0.3409 elapsed_s=440.3
45/134 (33.6%) ok=45 base_ac1=0.3333 elapsed_s=452.9
46/134 (34.3%) ok=46 base_ac1=0.3261 elapsed_s=464.6
47/134 (35.1%) ok=47 base_ac1=0.3191 elapsed_s=474.0
48/134 (35.8%) ok=48 base_ac1=0.3125 elapsed_s=484.8
49/134 (36.6%) ok=49 base_ac1=0.3265 elapsed_s=495.8
50/134 (37.3%) ok=50 base_ac1=0.3200 elapsed_s=504.3
