start model=qwen3.6-27b requested=36
progress=2/36 (5.6%) task_accuracy=0.4286 status=success
progress=4/36 (11.1%) task_accuracy=0.5000 status=success
progress=6/36 (16.7%) task_accuracy=0.5714 status=success
progress=8/36 (22.2%) task_accuracy=0.5893 status=success
progress=10/36 (27.8%) task_accuracy=0.5143 status=success
progress=12/36 (33.3%) task_accuracy=0.5238 status=success
progress=14/36 (38.9%) task_accuracy=0.5204 status=success
progress=16/36 (44.4%) task_accuracy=0.5089 status=success
progress=18/36 (50.0%) task_accuracy=0.5238 status=success
progress=20/36 (55.6%) task_accuracy=0.5071 status=success
progress=22/36 (61.1%) task_accuracy=0.5065 status=success
progress=24/36 (66.7%) task_accuracy=0.5238 status=success
progress=26/36 (72.2%) task_accuracy=0.5275 status=success
progress=28/36 (77.8%) task_accuracy=0.5357 status=success
progress=30/36 (83.3%) task_accuracy=0.5381 status=success
progress=32/36 (88.9%) task_accuracy=0.5446 status=success
progress=34/36 (94.4%) task_accuracy=0.5462 status=success
progress=36/36 (100.0%) task_accuracy=0.5238 status=success
