start model=gemma-4-26b-a4b requested=36
progress=1/36 (2.8%) accuracy=0.0000 status=model_parse_failure
progress=2/36 (5.6%) accuracy=0.0000 status=success
progress=3/36 (8.3%) accuracy=1.0000 status=success
progress=4/36 (11.1%) accuracy=0.0000 status=model_parse_failure
progress=5/36 (13.9%) accuracy=1.0000 status=success
progress=6/36 (16.7%) accuracy=0.0000 status=success
progress=7/36 (19.4%) accuracy=1.0000 status=success
progress=8/36 (22.2%) accuracy=0.0000 status=success
progress=9/36 (25.0%) accuracy=0.0000 status=success
progress=10/36 (27.8%) accuracy=0.0000 status=success
progress=11/36 (30.6%) accuracy=1.0000 status=success
progress=12/36 (33.3%) accuracy=0.0000 status=success
progress=13/36 (36.1%) accuracy=1.0000 status=success
progress=14/36 (38.9%) accuracy=0.0000 status=success
progress=15/36 (41.7%) accuracy=0.0000 status=success
progress=16/36 (44.4%) accuracy=0.0000 status=success
progress=17/36 (47.2%) accuracy=1.0000 status=success
progress=18/36 (50.0%) accuracy=0.0000 status=success
progress=19/36 (52.8%) accuracy=0.0000 status=success
progress=20/36 (55.6%) accuracy=0.0000 status=success
progress=21/36 (58.3%) accuracy=1.0000 status=success
progress=22/36 (61.1%) accuracy=0.0000 status=success
progress=23/36 (63.9%) accuracy=1.0000 status=success
progress=24/36 (66.7%) accuracy=0.0000 status=model_parse_failure
progress=25/36 (69.4%) accuracy=0.0000 status=success
progress=26/36 (72.2%) accuracy=0.0000 status=success
progress=27/36 (75.0%) accuracy=0.0000 status=success
progress=28/36 (77.8%) accuracy=1.0000 status=success
progress=29/36 (80.6%) accuracy=0.0000 status=success
progress=30/36 (83.3%) accuracy=0.0000 status=success
progress=31/36 (86.1%) accuracy=0.0000 status=success
progress=32/36 (88.9%) accuracy=1.0000 status=success
progress=33/36 (91.7%) accuracy=0.0000 status=success
progress=34/36 (94.4%) accuracy=1.0000 status=success
progress=35/36 (97.2%) accuracy=0.0000 status=success
progress=36/36 (100.0%) accuracy=0.0000 status=success
