start model=qwen3.6-27b requested=24
progress=1/24 condition=v7_large_edge_key status=success mrr=1.0000
progress=2/24 condition=v6_curved status=success mrr=1.0000
progress=3/24 condition=v6_curved status=success mrr=1.0000
progress=4/24 condition=v7_large_edge_key status=success mrr=1.0000
progress=5/24 condition=v6_curved status=success mrr=0.0000
progress=6/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=7/24 condition=v7_large_edge_key status=success mrr=1.0000
progress=8/24 condition=v6_curved status=success mrr=1.0000
progress=9/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=10/24 condition=v6_curved status=success mrr=0.0000
progress=11/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=12/24 condition=v6_curved status=success mrr=0.2500
progress=13/24 condition=v6_curved status=success mrr=0.0000
progress=14/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=15/24 condition=v6_curved status=success mrr=0.0000
progress=16/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=17/24 condition=v6_curved status=success mrr=0.0000
progress=18/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=19/24 condition=v6_curved status=success mrr=1.0000
progress=20/24 condition=v7_large_edge_key status=success mrr=1.0000
progress=21/24 condition=v6_curved status=success mrr=0.0000
progress=22/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=23/24 condition=v7_large_edge_key status=success mrr=0.0000
progress=24/24 condition=v6_curved status=success mrr=0.0000
