VIEW {"fact_inventory_hash":"4c27f74fad8ed17c66ee9df4399b90af67132b7b5df7c44f594d8a93d0f1fce7","query_hash":"ccfa633dab813ffb8777f6dbb306305d7306f20e999876b3e0ed36cc7cca699b","query_id":"Q-79F24790F8B466A5","schema_version":"TextViewV1","semantics":{"edge":"caller -> callee means caller invokes callee","missing":"missing=true means no observation, not a normal value","time":"all time values are relative to window start t=0"}}
FACT {"domain":"topology","entity":null,"fact_id":"F1097EE5EF297","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-ui-dashboard","caller":"loadgenerator"}}
FACT {"domain":"topology","entity":null,"fact_id":"F29EF46014059","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-station-food-service","caller":"ts-food-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F0643FA301D1E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-train-food-service","caller":"ts-food-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F7C572F5A4262","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-payment-service","caller":"ts-inside-payment-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F9858193C3D7B","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-seat-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F6B872F19DF9A","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-security-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F44247C261658","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-service","caller":"ts-basic-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F9FD2D8244C39","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-station-service","caller":"ts-basic-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F4E8CFA6409B4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-assurance-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F4CE6D7749837","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-auth-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F080BEC64EBBB","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-food-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F1AEBF5FBA82B","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F92100A1BD165","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-train-service","caller":"ts-basic-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F738A92B3B758","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F13998B69FB1C","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-train-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F354D58B3B513","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-inside-payment-service","caller":"ts-cancel-service"}}
