VIEW {"fact_inventory_hash":"a12931fcdd44f03d307ebe688830fb068d37cbecbded298cea7b417acb60ffb4","query_hash":"87aaf2d575d9a9ac5bf2587a18ef1c6a09f5107c64d4abf040e0f786c3d08e31","query_id":"Q-B739AD70EB0AC3A5","schema_version":"TextViewV1","semantics":{"edge":"caller -> callee means caller invokes callee","missing":"missing=true means no observation, not a normal value","time":"all time values are relative to window start t=0"}}
FACT {"domain":"topology","entity":null,"fact_id":"F1097EE5EF297","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-ui-dashboard","caller":"loadgenerator"}}
FACT {"domain":"topology","entity":null,"fact_id":"F0643FA301D1E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-train-food-service","caller":"ts-food-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F0363980C0F0E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-service","caller":"ts-food-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FEBBFA88D3FD4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-service","caller":"ts-inside-payment-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FCC3CD16A7E03","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-assurance-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F21BC150284A4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-contacts-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FCD1612ECAB68","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-price-service","caller":"ts-basic-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F6B872F19DF9A","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-security-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FA3F95EE6E5B5","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-other-service","caller":"ts-seat-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F44247C261658","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-service","caller":"ts-basic-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FA65A4D11FD0D","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-plan-service","caller":"ts-travel-plan-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FCDBAB34CF41E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-train-service","caller":"ts-travel-plan-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FC2872FC94033","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-service","caller":"ts-travel-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FDDF15F052866","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-basic-service","caller":"ts-travel2-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F4E8CFA6409B4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-assurance-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F8F2C64DDCDB4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-plan-service","caller":"ts-ui-dashboard"}}
