VIEW {"fact_inventory_hash":"dbbc534308fcc76de98b0fc4e29fd35d8cbd3d181a979f52fb34a94a3ea1ce2c","query_hash":"e3ededf63afb0825ffbcd28b2eec2f37e10dc5708c407e5aa7087e2ac07571e8","query_id":"Q-FE9BD364DBB030F6","schema_version":"TextViewV1","semantics":{"edge":"caller -> callee means caller invokes callee","missing":"missing=true means no observation, not a normal value","time":"all time values are relative to window start t=0"}}
FACT {"domain":"topology","entity":null,"fact_id":"F1097EE5EF297","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-ui-dashboard","caller":"loadgenerator"}}
FACT {"domain":"topology","entity":null,"fact_id":"F7C572F5A4262","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-payment-service","caller":"ts-inside-payment-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F992D98A8779E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-food-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F6B872F19DF9A","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-security-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F26FFE1E72E73","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F44247C261658","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-service","caller":"ts-basic-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FA65A4D11FD0D","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-plan-service","caller":"ts-travel-plan-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FD9C68BC98D26","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-consign-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"FC073817ECCAE","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-contacts-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F080BEC64EBBB","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-food-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F1AEBF5FBA82B","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F5023CC6106AE","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-preserve-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F2FA0C1BCA9E2","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F9BB032F1DB9E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel2-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F354D58B3B513","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-inside-payment-service","caller":"ts-cancel-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F001E0A30FFFA","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-consign-price-service","caller":"ts-consign-service"}}
