VIEW {"fact_inventory_hash":"027b0629dda0c0d08ebb37ea58470b59a62d67bf9c2045f0d0641b4babaa13c0","query_hash":"e026e9a1b304566436fc8bf52c671fa77b116613340c18ff1d28f043c3f3133f","query_id":"Q-E5992A20620D8621","schema_version":"TextViewV1","semantics":{"edge":"caller -> callee means caller invokes callee","missing":"missing=true means no observation, not a normal value","time":"all time values are relative to window start t=0"}}
FACT {"domain":"topology","entity":null,"fact_id":"F1097EE5EF297","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-ui-dashboard","caller":"loadgenerator"}}
FACT {"domain":"topology","entity":null,"fact_id":"F29EF46014059","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-station-food-service","caller":"ts-food-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F0363980C0F0E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-service","caller":"ts-food-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F21BC150284A4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-contacts-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F6B872F19DF9A","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-security-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F3AC1271AFC27","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-service","caller":"ts-route-plan-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FA3F95EE6E5B5","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-other-service","caller":"ts-seat-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FA9F183DA94C4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-service","caller":"ts-seat-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FA65A4D11FD0D","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-plan-service","caller":"ts-travel-plan-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FDDF15F052866","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-basic-service","caller":"ts-travel2-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F4E8CFA6409B4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-assurance-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"FC6EE2297DEE8","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-cancel-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"FD9C68BC98D26","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-consign-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F5023CC6106AE","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-preserve-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F8F2C64DDCDB4","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-plan-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"FD2BF955BDD90","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-user-service","caller":"ts-ui-dashboard"}}
