VIEW {"fact_inventory_hash":"8c2c1ea73b55f6d99f35dd71734e3af44991e9ef1bbd0f6bb9fb5e329158e861","query_hash":"c82261d2146b800dc2a9185ebaac89e2f4e8669280b797144ed5be45bf843868","query_id":"Q-EAAC52F6931B5E1E","schema_version":"TextViewV1","semantics":{"edge":"caller -> callee means caller invokes callee","missing":"missing=true means no observation, not a normal value","time":"all time values are relative to window start t=0"}}
FACT {"domain":"topology","entity":null,"fact_id":"F0363980C0F0E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-service","caller":"ts-food-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F05ECA75DB37C","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-basic-service","caller":"ts-preserve-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FE87597D20B17","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel-service","caller":"ts-route-plan-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F7B18FDE7E047","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-config-service","caller":"ts-seat-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F11F9DFF2084C","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-service","caller":"ts-security-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FC2872FC94033","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-route-service","caller":"ts-travel-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FCF3B725DB3C1","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-seat-service","caller":"ts-travel-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"FC6EE2297DEE8","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-cancel-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F080BEC64EBBB","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-food-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F500A2D1099B7","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-inside-payment-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F9945AC32D38B","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-other-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F92100A1BD165","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-train-service","caller":"ts-basic-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F9BB032F1DB9E","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-travel2-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"FD2BF955BDD90","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-user-service","caller":"ts-ui-dashboard"}}
FACT {"domain":"topology","entity":null,"fact_id":"F354D58B3B513","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-inside-payment-service","caller":"ts-cancel-service"}}
FACT {"domain":"topology","entity":null,"fact_id":"F19EBAAC29759","field":"directed_call_edge","relative_bin":null,"unit":null,"value":{"callee":"ts-order-service","caller":"ts-cancel-service"}}
