experiment,model,comparison,n,both_correct,repair,break,both_incorrect,net_correction
direct_rca,qwen3.6-27b,R - T,289,52,24,32,181,-8
direct_rca,qwen3.6-27b,V - T,289,51,20,33,185,-13
direct_rca,qwen3.6-27b,H - T,289,63,9,21,196,-12
direct_rca,gemma-4-26b-a4b,R - T,289,57,23,34,175,-11
direct_rca,gemma-4-26b-a4b,V - T,289,53,18,38,180,-20
direct_rca,gemma-4-26b-a4b,H - T,289,69,14,22,184,-8
direct_rca,qwen3.8-27b,R - T,289,45,20,28,196,-8
direct_rca,qwen3.8-27b,V - T,289,41,16,32,200,-16
direct_rca,qwen3.8-27b,H - T,289,61,10,12,206,-2
matched_rca,qwen3.6-27b,R - T,234,35,24,19,156,5
matched_rca,qwen3.6-27b,V - T,234,34,18,20,162,-2
matched_rca,qwen3.6-27b,H - T,234,35,13,19,167,-6
matched_rca,gemma-4-26b-a4b,R - T,289,57,25,35,172,-10
matched_rca,gemma-4-26b-a4b,V - T,289,63,23,29,174,-6
matched_rca,gemma-4-26b-a4b,H - T,289,68,24,24,173,0
matched_rca,qwen3.8-27b,R - T,289,39,33,19,198,14
matched_rca,qwen3.8-27b,V - T,289,31,30,27,201,3
matched_rca,qwen3.8-27b,H - T,289,41,13,17,218,-4
ledger_handoff_rca,qwen3.6-27b,L_vis - L_txt,289,50,19,29,191,-10
ledger_handoff_rca,qwen3.6-27b,L_hyb - L_txt,289,70,14,9,196,5
ledger_handoff_rca,gemma-4-26b-a4b,L_vis - L_txt,289,46,29,38,176,-9
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb - L_txt,289,58,25,26,180,-1
ledger_handoff_rca,qwen3.8-27b,L_vis - L_txt,289,49,10,24,206,-14
ledger_handoff_rca,qwen3.8-27b,L_hyb - L_txt,289,62,7,11,209,-4
