experiment,model,arm,dataset,top1_outcome,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
direct_rca,gemma-4-26b-a4b,H,aegislab,correct,34,0.86867792,0.11071791,0.88914027,,0.62248878,0.024429712,0.043996403,0.3090851,,0.97836651,0.52579193,0.93858992,1.155804,
direct_rca,gemma-4-26b-a4b,H,aegislab,incorrect,62,0.86858214,0.12275216,0.87282878,,0.62159611,0.022710679,0.041405154,0.31428805,,0.97688206,0.49515474,0.88330995,1.1772584,
direct_rca,gemma-4-26b-a4b,H,aiops2022,correct,30,0.86712025,0.12286678,0.85384615,,0.61453163,0.025858392,0.041678675,0.3179313,,0.94110873,0.55164569,0.88914506,1.2583382,
direct_rca,gemma-4-26b-a4b,H,aiops2022,incorrect,70,0.86473171,0.12708755,0.85934066,,0.61070653,0.025787477,0.044018018,0.31948797,,0.93353063,0.55013284,0.93905106,1.2686872,
direct_rca,gemma-4-26b-a4b,H,aiops2025,correct,19,0.86452488,0.12385545,0.87854251,,0.61144552,0.025614586,0.039310565,0.32362933,,0.93172651,0.5464445,0.83862539,1.2945173,
direct_rca,gemma-4-26b-a4b,H,aiops2025,incorrect,74,0.86317513,0.12809604,0.86798337,,0.61504121,0.024101431,0.037730571,0.32312679,,0.93720565,0.51416386,0.80491886,1.2925072,
direct_rca,gemma-4-26b-a4b,H,re2_ob,correct,53,0.86158679,0.098469147,0.90275762,,0.60416454,0.02791484,0.041141732,0.32677889,,0.92063167,0.59551658,0.87769028,1.3071156,
direct_rca,gemma-4-26b-a4b,H,re2_ob,incorrect,37,0.86109766,0.10299237,0.8970894,,0.60641432,0.027675252,0.041568775,0.32434166,,0.92405991,0.59040538,0.88680053,1.2973666,
direct_rca,gemma-4-26b-a4b,H,re2_tt,correct,52,0.86462472,0.12557185,0.87721893,,0.61686499,0.023351544,0.039946495,0.31983697,,0.94404976,0.49816626,0.85219189,1.26777,
direct_rca,gemma-4-26b-a4b,H,re2_tt,incorrect,38,0.86396367,0.13148453,0.88259109,,0.61530616,0.02354601,0.041886676,0.31926115,,0.96534073,0.51598186,0.90110386,1.2031443,
direct_rca,gemma-4-26b-a4b,P,aegislab,correct,23,0.79477416,0.23697454,0.76754097,,,,,,1,,,,,1
direct_rca,gemma-4-26b-a4b,P,aegislab,incorrect,73,0.79599509,0.23910684,0.76052416,,,,,,1,,,,,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,correct,26,0.79391117,0.26265154,0.73185047,,,,,,1,,,,,1
direct_rca,gemma-4-26b-a4b,P,aiops2022,incorrect,74,0.79475231,0.26161421,0.72822782,,,,,,1,,,,,1
direct_rca,gemma-4-26b-a4b,P,aiops2025,correct,14,0.79882229,0.2694276,0.73013768,,,,,,1,,,,,1
direct_rca,gemma-4-26b-a4b,P,aiops2025,incorrect,79,0.79778036,0.26463624,0.73132294,,,,,,1,,,,,1
direct_rca,gemma-4-26b-a4b,P,re2_ob,correct,49,0.80276738,0.2293765,0.75644374,,,,,,1,,,,,1
direct_rca,gemma-4-26b-a4b,P,re2_ob,incorrect,41,0.80243567,0.23618878,0.75435328,,,,,,1,,,,,1
