experiment,model,arm,dataset,fault_type,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
cross_region,gemma-4-26b-a4b,H,aegislab,ContainerKill,6,0.85178761,0.084415662,0.91025641,1,0.65674059,0.020802365,0.033569746,0.2888873,,1.0130457,0.44378378,0.71615459,1.1227775,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPRequestAbort,6,0.85959831,0.119367,0.85897436,1,0.62022154,0.022238154,0.049432126,0.30810818,,0.95751164,0.47441395,1.054552,1.2008529,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPRequestDelay,7,0.85014235,0.11793904,0.85164835,1,0.61751472,0.026333441,0.040401203,0.31575063,,0.9511731,0.56178008,0.86189232,1.2366011,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPRequestReplaceMethod,15,0.85626069,0.11528981,0.85897436,1,0.62507219,0.021621568,0.050341612,0.30296463,,0.96716414,0.47110378,1.0739544,1.1738582,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPRequestReplacePath,1,0.8609198,0.13278121,0.80769231,1,0.60827424,0.021938968,0.05720831,0.31257848,,0.92689408,0.46803132,1.220444,1.2503139,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPResponseAbort,3,0.85719669,0.11121302,0.87179487,1,0.63986569,0.024954292,0.03547435,0.29970567,,0.97503343,0.53235823,0.75678613,1.1988227,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPResponseDelay,7,0.85084613,0.12346783,0.86813187,1,0.63890804,0.017066954,0.044680605,0.2993444,,1.0075546,0.38345009,0.95318624,1.1193434,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPResponseReplaceBody,2,0.85252557,0.14986621,0.86538462,1,0.63178986,0.021453563,0.052649575,0.294107,,0.99998875,0.45767602,1.1231909,1.0828767,
cross_region,gemma-4-26b-a4b,H,aegislab,HTTPResponseReplaceCode,13,0.8554134,0.13644855,0.85502959,1,0.62369874,0.025527675,0.048715873,0.30205772,,0.97916954,0.54459039,1.039272,1.1385338,
cross_region,gemma-4-26b-a4b,H,aegislab,JVMException,3,0.85967517,0.11609271,0.88461538,1,0.65363148,0.019596645,0.037009321,0.28976256,,1.0224071,0.41806177,0.78953219,1.1015391,
cross_region,gemma-4-26b-a4b,H,aegislab,JVMLatency,1,0.86082431,0.096578028,0.84615385,1,0.62129258,0.019866302,0.055556905,0.30328421,,0.94673155,0.42381445,1.185214,1.2131369,
cross_region,gemma-4-26b-a4b,H,aegislab,JVMMemoryStress,14,0.85300303,0.11107235,0.88736264,1,0.63720793,0.022230593,0.044263225,0.29629825,,1.0028761,0.47425265,0.94428214,1.1069679,
cross_region,gemma-4-26b-a4b,H,aegislab,JVMReturn,2,0.85545956,0.10309828,0.86538462,1,0.62499272,0.025902746,0.038025049,0.31107948,,0.95236986,0.55259192,0.81120105,1.2443179,
cross_region,gemma-4-26b-a4b,H,aegislab,NetworkBandwidth,2,0.85514271,0.10592152,0.88461538,1,0.61671857,0.021771962,0.04327616,0.31823331,,0.93976163,0.46446853,0.92322475,1.2729332,
cross_region,gemma-4-26b-a4b,H,aegislab,NetworkCorrupt,2,0.85329372,0.12471019,0.86538462,1,0.62436934,0.02362593,0.053643821,0.29836091,,0.95141995,0.50401984,1.1444015,1.1934436,
cross_region,gemma-4-26b-a4b,H,aegislab,NetworkDelay,1,0.85178146,0.10576228,0.84615385,1,0.65925316,0.017890181,0.029723771,0.29313289,,1.0045762,0.38165719,0.63410712,1.1725316,
cross_region,gemma-4-26b-a4b,H,aegislab,NetworkLoss,3,0.86472484,0.11802756,0.85897436,1,0.63563848,0.016747596,0.033291579,0.31432234,,1.021711,0.39299598,0.71022034,1.1248975,
cross_region,gemma-4-26b-a4b,H,aegislab,NetworkPartition,6,0.85718368,0.12870891,0.86538462,1,0.63016448,0.026115115,0.037412888,0.30630751,,0.97257872,0.55712246,0.7981416,1.1957396,
cross_region,gemma-4-26b-a4b,H,aegislab,PodFailure,1,0.86774775,0.061636544,0.92307692,1,0.64550851,0.021631761,0.032028481,0.30083125,,0.98363201,0.46147758,0.68327426,1.203325,
cross_region,gemma-4-26b-a4b,H,aegislab,PodKill,1,0.85168056,0.090016109,0.92307692,1,0.60424635,0.039904365,0.027079898,0.32876939,,0.92075634,0.85129312,0.57770449,1.3150776,
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器cpu负载,9,0.8499486,0.12710688,0.86324786,1,0.61325196,0.024934876,0.043207893,0.31860527,,0.93447918,0.53194403,0.92176839,1.2744211,
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器内存负载,8,0.8451791,0.099411866,0.90865385,1,0.634109,0.02722202,0.041547598,0.29712138,,0.96626134,0.58073642,0.88634876,1.1884855,
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器写io负载,4,0.84885188,0.10544234,0.89423077,1,0.63511894,0.019390725,0.03792045,0.30756989,,0.96780028,0.4136688,0.80896959,1.2302796,
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器网络丢包,9,0.84990099,0.12174134,0.85042735,1,0.61827318,0.022957657,0.051375018,0.30739415,,0.94213055,0.48976334,1.0960004,1.2295766,
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器网络延迟,10,0.85080574,0.13322363,0.86538462,1,0.63098024,0.026679107,0.040742479,0.30159818,,0.9614937,0.56915428,0.86917289,1.2063927,
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器网络资源包损坏,10,0.85134013,0.13975598,0.83076923,1,0.61884308,0.022324653,0.051284097,0.30754817,,0.94299899,0.47625926,1.0940607,1.2301927,
cross_region,gemma-4-26b-a4b,H,aiops2022,k8s容器网络资源包重复发送,7,0.85183186,0.10942047,0.87912088,1,0.62960364,0.023018487,0.041699989,0.30567789,,0.95939602,0.49106107,0.88959977,1.2227115,
