experiment,model,arm,visual_request_n,collected_n,image_artifacts,grid_refs,grid_exists,overlay_refs,overlay_exists,raw_probe_exists,collection_rate,grid_presence_rate,overlay_presence_rate
cross_region,gemma-4-26b-a4b,H,469,469,469,469,469,469,469,469,1,1,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,469,469,938,938,938,938,938,469,1,1,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,469,469,2345,2345,2345,2345,2345,469,1,1,1
cross_region,gemma-4-26b-a4b,P,469,469,3310,3310,3310,3310,3310,469,1,1,1
cross_region,gemma-4-26b-a4b,V,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.6-27b,H,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.6-27b,Mt-Rt-Lt-Gv,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.6-27b,Mt-Rt-Lv-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.6-27b,Mt-Rv-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.6-27b,Mt-Rv-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rt-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rt-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rv-Lt-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gt,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.6-27b,Mv-Rv-Lv-Gv,469,469,2345,2345,2345,2345,2345,469,1,1,1
cross_region,qwen3.6-27b,P,469,469,3310,3310,3310,3310,3310,469,1,1,1
cross_region,qwen3.6-27b,V,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.8-27b,H,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.8-27b,Mt-Rt-Lt-Gv,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.8-27b,Mt-Rt-Lv-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.8-27b,Mt-Rv-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.8-27b,Mt-Rv-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rt-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rt-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gt,469,469,938,938,938,938,938,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rv-Lt-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gt,469,469,1407,1407,1407,1407,1407,469,1,1,1
cross_region,qwen3.8-27b,Mv-Rv-Lv-Gv,469,469,2345,2345,2345,2345,2345,469,1,1,1
cross_region,qwen3.8-27b,P,469,469,3442,3442,3442,3442,3442,469,1,1,1
cross_region,qwen3.8-27b,V,469,469,469,469,469,469,469,469,1,1,1
direct_rca,gemma-4-26b-a4b,H,469,469,469,469,469,469,469,469,1,1,1
direct_rca,gemma-4-26b-a4b,P,469,469,3442,3442,3442,3442,3442,469,1,1,1
direct_rca,gemma-4-26b-a4b,R,469,469,469,469,469,469,469,469,1,1,1
direct_rca,gemma-4-26b-a4b,V,469,469,469,469,469,469,469,469,1,1,1
direct_rca,qwen3.6-27b,H,469,469,469,469,469,469,469,469,1,1,1
direct_rca,qwen3.6-27b,P,469,469,3442,3442,3442,3442,3442,469,1,1,1
direct_rca,qwen3.6-27b,R,469,469,469,469,469,469,469,469,1,1,1
direct_rca,qwen3.6-27b,V,469,469,469,469,469,469,469,469,1,1,1
direct_rca,qwen3.8-27b,H,469,469,469,469,469,469,469,469,1,1,1
direct_rca,qwen3.8-27b,P,469,469,3442,3442,3442,3442,3442,469,1,1,1
direct_rca,qwen3.8-27b,R,469,469,469,469,469,469,469,469,1,1,1
direct_rca,qwen3.8-27b,V,469,469,469,469,469,469,469,469,1,1,1
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,469,469,894,894,894,894,894,469,1,1,1
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,469,469,894,894,894,894,894,469,1,1,1
ledger_handoff_rca,qwen3.6-27b,L_hyb,469,469,540,540,540,540,540,469,1,1,1
ledger_handoff_rca,qwen3.6-27b,L_vis,469,469,540,540,540,540,540,469,1,1,1
ledger_handoff_rca,qwen3.8-27b,L_hyb,469,469,510,510,510,510,510,469,1,1,1
ledger_handoff_rca,qwen3.8-27b,L_vis,469,469,510,510,510,510,510,469,1,1,1
legacy_q9,gemma-4-26b-a4b,H,469,469,469,469,469,469,469,469,1,1,1
legacy_q9,gemma-4-26b-a4b,P,469,469,3310,3310,3310,3310,3310,469,1,1,1
legacy_q9,gemma-4-26b-a4b,V,469,469,469,469,469,469,469,469,1,1,1
legacy_q9,qwen3.6-27b,H,469,469,469,469,469,469,469,469,1,1,1
legacy_q9,qwen3.6-27b,P,469,469,3310,3310,3310,3310,3310,469,1,1,1
legacy_q9,qwen3.6-27b,V,469,469,469,469,469,469,469,469,1,1,1
legacy_q9,qwen3.8-27b,H,469,469,469,469,469,469,469,469,1,1,1
legacy_q9,qwen3.8-27b,P,469,469,3442,3442,3442,3442,3442,469,1,1,1
legacy_q9,qwen3.8-27b,V,469,469,469,469,469,469,469,469,1,1,1
matched_rca,gemma-4-26b-a4b,H,469,469,469,469,469,469,469,469,1,1,1
matched_rca,gemma-4-26b-a4b,P,469,469,3442,3442,3442,3442,3442,469,1,1,1
matched_rca,gemma-4-26b-a4b,R,469,469,469,469,469,469,469,469,1,1,1
matched_rca,gemma-4-26b-a4b,V,469,469,469,469,469,469,469,469,1,1,1
matched_rca,qwen3.6-27b,H,469,469,469,469,469,469,469,469,1,1,1
matched_rca,qwen3.6-27b,P,414,414,2995,2995,2995,2995,2995,414,1,1,1
matched_rca,qwen3.6-27b,R,469,469,469,469,469,469,469,469,1,1,1
matched_rca,qwen3.6-27b,V,469,469,469,469,469,469,469,469,1,1,1
matched_rca,qwen3.8-27b,H,469,469,469,469,469,469,469,469,1,1,1
matched_rca,qwen3.8-27b,P,469,469,3442,3442,3442,3442,3442,469,1,1,1
matched_rca,qwen3.8-27b,R,469,469,469,469,469,469,469,469,1,1,1
matched_rca,qwen3.8-27b,V,469,469,469,469,469,469,469,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,H,469,469,469,469,469,469,469,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,469,469,938,938,938,938,938,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,469,469,469,469,469,469,469,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,469,469,469,469,469,469,469,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,469,469,1407,1407,1407,1407,1407,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,469,469,938,938,938,938,938,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,469,469,938,938,938,938,938,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,469,469,1876,1876,1876,1876,1876,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,469,469,1407,1407,1407,1407,1407,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,469,469,2345,2345,2345,2345,2345,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,P,469,469,3345,3345,3345,3345,3345,469,1,1,1
typed_two_stage,gemma-4-26b-a4b,V,469,469,469,469,469,469,469,469,1,1,1
typed_two_stage,qwen3.6-27b,H,469,469,469,469,469,469,469,469,1,1,1
typed_two_stage,qwen3.6-27b,Mt-Rt-Lt-Gv,469,469,938,938,938,938,938,469,1,1,1
