experiment,model,arm,dataset,root_service,n,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger
cross_region,gemma-4-26b-a4b,H,aegislab,mysql,6,0.85669531,0.10554489,0.87820513,1,0.62733199,0.018903946,0.037479038,0.31628503,,0.98249397,0.42114115,0.79955282,1.1989442,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-assurance-service,5,0.85547584,0.1300426,0.84615385,1,0.62688385,0.024039388,0.05261189,0.29646487,,0.96959124,0.51284029,1.122387,1.1503518,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-auth-service,4,0.85298105,0.094691699,0.91346154,1,0.64476553,0.026259684,0.041625983,0.2873488,,0.98249986,0.5602066,0.88802098,1.1493952,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-basic-service,19,0.85473432,0.12621669,0.85222672,1,0.62976667,0.023973102,0.043094588,0.30316564,,0.97510022,0.51142617,0.91935121,1.1733149,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-config-service,6,0.85708671,0.12109934,0.86538462,1,0.63355377,0.020249432,0.047074329,0.29912247,,1.0166865,0.4545688,1.0042524,1.0723456,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-consign-service,2,0.86213911,0.13845851,0.80769231,1,0.62259019,0.018187933,0.051964245,0.30725763,,0.94870887,0.38800923,1.1085706,1.2290305,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-contacts-service,2,0.85875863,0.1030282,0.92307692,1,0.60969476,0.035234942,0.05670223,0.29836807,,0.96611774,0.75167875,1.2096476,1.0980172,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-food-service,3,0.85464434,0.11895247,0.87179487,1,0.6187834,0.020643563,0.061535712,0.29903732,,0.94290804,0.44039602,1.3127618,1.1961493,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-inside-payment-service,2,0.85053218,0.075185225,0.94230769,1,0.63577273,0.023088825,0.039251607,0.30188684,,0.96879654,0.4925616,0.83736762,1.2075473,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-order-other-service,4,0.85804804,0.10358545,0.89423077,1,0.63449332,0.025876974,0.043556644,0.29607306,,0.98538031,0.5520421,0.92920841,1.1403938,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-order-service,5,0.86181142,0.12523078,0.88461538,1,0.64824969,0.021318583,0.032804078,0.29762765,,1.0190199,0.45479644,0.69982032,1.120206,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-preserve-service,5,0.85614685,0.11644454,0.87692308,1,0.61653431,0.022443668,0.052361365,0.30866065,,0.95476401,0.47879824,1.1170425,1.1996484,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-price-service,2,0.85890109,0.1163018,0.84615385,1,0.64794755,0.018457563,0.031240486,0.3023544,,0.98734865,0.39376134,0.66646371,1.2094176,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-route-plan-service,6,0.85080986,0.10818779,0.88461538,1,0.64677707,0.020787015,0.04059342,0.2918425,,1.0110815,0.44345632,0.86599296,1.1074745,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-route-service,4,0.85281747,0.12777386,0.86538462,1,0.62195664,0.021652235,0.052706601,0.30368452,,0.96659668,0.46191435,1.1244075,1.1690348,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-seat-service,6,0.85406015,0.12695176,0.83974359,1,0.62227966,0.024134494,0.048559049,0.30502679,,0.98486881,0.53947836,1.0359264,1.1273188,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-security-service,1,0.855359,0.078962237,0.96153846,1,0.67716084,0.018487131,0.024815319,0.27953671,,1.0318641,0.39439213,0.52939348,1.1181468,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-station-food-service,1,0.85205811,0.11573849,0.88461538,1,0.6345676,0.020107619,0.033609933,0.31171485,,0.96696015,0.42896255,0.7170119,1.2468594,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-station-service,1,0.84604327,0.16156852,0.88461538,1,0.63982014,0.021303354,0.035207116,0.30366939,,1.0499613,0.45447155,0.75108515,1.0228864,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-train-service,2,0.86529371,0.13125916,0.76923077,1,0.61484494,0.023116862,0.035841022,0.32619718,,0.93690657,0.49315972,0.76460848,1.3047887,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-travel-plan-service,3,0.85316135,0.11833854,0.84615385,1,0.6160304,0.018914166,0.053066349,0.31198908,,0.93871299,0.40350222,1.1320821,1.2479563,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-travel-service,3,0.85427464,0.10639072,0.8974359,1,0.63625565,0.023047714,0.043762678,0.29693396,,1.0191339,0.49168456,0.9336038,1.0639899,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-travel2-service,2,0.84772014,0.10595023,0.86538462,1,0.63867636,0.019265844,0.032412875,0.30964492,,0.97322112,0.41100468,0.69147467,1.2385797,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-user-service,1,0.85168056,0.090016109,0.92307692,1,0.60424635,0.039904365,0.027079898,0.32876939,,0.92075634,0.85129312,0.57770449,1.3150776,
cross_region,gemma-4-26b-a4b,H,aegislab,ts-verification-code-service,1,0.84275827,0.083645059,0.88461538,1,0.64803991,0.020358987,0.028182031,0.30341907,,0.98748939,0.43432505,0.60121666,1.2136763,
cross_region,gemma-4-26b-a4b,H,aiops2022,adservice,2,0.85233182,0.10865535,0.84615385,1,0.60454254,0.02596767,0.05352098,0.31596881,,0.92120768,0.55397697,1.1417809,1.2638752,
cross_region,gemma-4-26b-a4b,H,aiops2022,adservice-0,1,0.853264,0.090111035,0.92307692,1,0.62596747,0.030822083,0.046999195,0.29621125,,0.9538552,0.65753777,1.0026495,1.184845,
cross_region,gemma-4-26b-a4b,H,aiops2022,adservice-1,3,0.84874315,0.11235087,0.87179487,1,0.61834023,0.024504963,0.049709956,0.30744485,,0.94223273,0.52277254,1.0604791,1.2297794,
cross_region,gemma-4-26b-a4b,H,aiops2022,adservice2-0,1,0.85744136,0.15020732,0.73076923,1,0.63357687,0.0187575,0.03702983,0.3106358,,0.96545046,0.40015999,0.7899697,1.2425432,
cross_region,gemma-4-26b-a4b,H,aiops2022,cartservice,5,0.85447113,0.13403312,0.83076923,1,0.62169759,0.022704141,0.051591787,0.30400649,,0.9473487,0.48435501,1.1006248,1.2160259,
cross_region,gemma-4-26b-a4b,H,aiops2022,cartservice-0,2,0.84535427,0.096880311,0.94230769,1,0.63391814,0.019625138,0.034481219,0.3119755,,0.96597051,0.4186696,0.73559934,1.247902,
cross_region,gemma-4-26b-a4b,H,aiops2022,cartservice2-0,1,0.84571183,0.11966115,0.92307692,1,0.6293788,0.020919954,0.029452321,0.32024892,,0.95905342,0.44629235,0.62831618,1.2809957,
cross_region,gemma-4-26b-a4b,H,aiops2022,checkoutservice,4,0.84411086,0.11939912,0.84615385,1,0.61906713,0.020384933,0.039508342,0.3210396,,0.94334038,0.43487856,0.84284464,1.2841584,
cross_region,gemma-4-26b-a4b,H,aiops2022,checkoutservice-0,2,0.85440347,0.15852019,0.82692308,1,0.60449652,0.026394221,0.049277098,0.31983216,,0.92113756,0.56307671,1.0512447,1.2793286,
cross_region,gemma-4-26b-a4b,H,aiops2022,checkoutservice-1,2,0.85049704,0.1152191,0.84615385,1,0.61850461,0.019926472,0.040858411,0.32071051,,0.94248321,0.42509806,0.8716461,1.282842,
cross_region,gemma-4-26b-a4b,H,aiops2022,currencyservice,2,0.86087368,0.1319734,0.82692308,1,0.64267666,0.018855854,0.051147523,0.28731996,,0.97931682,0.40225821,1.0911472,1.1492798,
cross_region,gemma-4-26b-a4b,H,aiops2022,currencyservice-0,1,0.85061181,0.10573563,0.88461538,1,0.63320852,0.030593758,0.036364784,0.29983294,,0.96488917,0.65266684,0.77578206,1.1993318,
cross_region,gemma-4-26b-a4b,H,aiops2022,currencyservice-1,2,0.84853828,0.093596572,0.92307692,1,0.61645029,0.025842248,0.036809908,0.32089755,,0.93935283,0.55130129,0.78527804,1.2835902,
cross_region,gemma-4-26b-a4b,H,aiops2022,currencyservice-2,2,0.85144085,0.10972979,0.90384615,1,0.6001146,0.018186507,0.040800363,0.34089853,,0.91446034,0.38797882,0.87040774,1.3635941,
cross_region,gemma-4-26b-a4b,H,aiops2022,emailservice,4,0.84897968,0.11983853,0.875,1,0.63050768,0.025223012,0.045186541,0.29908277,,0.96077361,0.53809093,0.96397954,1.1963311,
cross_region,gemma-4-26b-a4b,H,aiops2022,emailservice-1,2,0.84833997,0.068693019,0.96153846,1,0.65186128,0.026691546,0.032337861,0.28910931,,0.99331243,0.56941964,0.68987436,1.1564372,
cross_region,gemma-4-26b-a4b,H,aiops2022,frontend,3,0.84631285,0.15482873,0.83333333,1,0.61301434,0.028652182,0.054213841,0.30411963,,0.9341171,0.61124655,1.1565619,1.2164785,
cross_region,gemma-4-26b-a4b,H,aiops2022,frontend-0,1,0.84621266,0.11620208,0.88461538,1,0.57891363,0.01898707,0.047558503,0.3545408,,0.8821541,0.4050575,1.0145814,1.4181632,
cross_region,gemma-4-26b-a4b,H,aiops2022,frontend-1,1,0.83018691,0.12988607,0.80769231,1,0.62626748,0.031530056,0.064673229,0.27752923,,0.95431235,0.6726412,1.3796955,1.1101169,
cross_region,gemma-4-26b-a4b,H,aiops2022,frontend-2,1,0.84020641,0.14281122,0.84615385,1,0.61515945,0.027548731,0.059994265,0.29729755,,0.93738583,0.58770625,1.2798777,1.1891902,
cross_region,gemma-4-26b-a4b,H,aiops2022,frontend2-0,1,0.83845571,0.088479877,0.92307692,1,0.63692578,0.048233156,0.02663995,0.28820111,,0.97055357,1.028974,0.56831894,1.1528045,
cross_region,gemma-4-26b-a4b,H,aiops2022,node-1,3,0.84274465,0.12341669,0.87179487,1,0.61813847,0.023378465,0.04626674,0.31221632,,0.94192529,0.49874059,0.98702378,1.2488653,
cross_region,gemma-4-26b-a4b,H,aiops2022,node-2,3,0.85557553,0.11615625,0.88461538,1,0.62757335,0.022581497,0.035771899,0.31407326,,0.95630224,0.48173861,0.76313385,1.256293,
cross_region,gemma-4-26b-a4b,H,aiops2022,node-3,4,0.84800447,0.12313668,0.85576923,1,0.64958791,0.019131837,0.034744352,0.2965359,,0.98984824,0.40814586,0.74121284,1.1861436,
cross_region,gemma-4-26b-a4b,H,aiops2022,node-4,4,0.85419522,0.11979248,0.84615385,1,0.63553851,0.021150199,0.044858528,0.29845276,,0.96843963,0.45120425,0.95698193,1.1938111,
cross_region,gemma-4-26b-a4b,H,aiops2022,node-5,8,0.84582056,0.12773811,0.83653846,1,0.63688037,0.021417025,0.042430114,0.29927249,,0.97048438,0.45689653,0.90517577,1.19709,
cross_region,gemma-4-26b-a4b,H,aiops2022,node-6,7,0.84939221,0.10677277,0.87362637,1,0.62334715,0.022779752,0.041201464,0.31267163,,0.94986233,0.48596804,0.87896457,1.2506865,
cross_region,gemma-4-26b-a4b,H,aiops2022,paymentservice,1,0.86053309,0.079518589,0.96153846,1,0.63366986,0.028164497,0.035288688,0.30287696,,0.96559216,0.60084261,0.75282535,1.2115078,
cross_region,gemma-4-26b-a4b,H,aiops2022,productcatalogservice,4,0.85003347,0.11548668,0.875,1,0.64192356,0.02346968,0.037770412,0.29683635,,0.97816923,0.5006865,0.80576878,1.1873454,
cross_region,gemma-4-26b-a4b,H,aiops2022,productcatalogservice-0,3,0.85162064,0.12100179,0.84615385,1,0.62209965,0.023214568,0.04657056,0.30811522,,0.94796138,0.49524411,0.99350527,1.2324609,
cross_region,gemma-4-26b-a4b,H,aiops2022,productcatalogservice-1,3,0.83876485,0.10800191,0.91025641,1,0.6353621,0.025542762,0.041819572,0.29727556,,0.99331141,0.54491226,0.89215087,1.1273337,
cross_region,gemma-4-26b-a4b,H,aiops2022,productcatalogservice-2,2,0.84496732,0.13497511,0.86538462,1,0.63962521,0.021667669,0.031843029,0.30686409,,0.97466699,0.4622436,0.67931794,1.2274564,
cross_region,gemma-4-26b-a4b,H,aiops2022,productcatalogservice2-0,1,0.84929152,0.16410473,0.84615385,1,0.64502589,0.031924289,0.034219243,0.28883058,,0.98289659,0.68105149,0.73001051,1.1553223,
cross_region,gemma-4-26b-a4b,H,aiops2022,recommendationservice,4,0.84900529,0.13634121,0.83653846,1,0.61956462,0.030180956,0.048267875,0.30198655,,0.94409847,0.64386039,1.0297147,1.2079462,
cross_region,gemma-4-26b-a4b,H,aiops2022,recommendationservice-2,1,0.85225803,0.16943031,0.69230769,1,0.60286169,0.018826269,0.066229248,0.31208279,,0.91864639,0.40162706,1.4128906,1.2483312,
cross_region,gemma-4-26b-a4b,H,aiops2022,recommendationservice2-0,1,0.86771312,0.15307097,0.84615385,1,0.63848199,0.018811011,0.047640067,0.29506693,,0.97292494,0.40130157,1.0163214,1.1802677,
cross_region,gemma-4-26b-a4b,H,aiops2022,shippingservice,4,0.84818478,0.10856159,0.90384615,1,0.64256924,0.024977624,0.04096315,0.29148999,,0.97915312,0.53285599,0.87388054,1.16596,
cross_region,gemma-4-26b-a4b,H,aiops2022,shippingservice-0,1,0.8493586,0.16681314,0.76923077,1,0.61991748,0.016305283,0.057793098,0.30598414,,0.94463616,0.34784604,1.2329194,1.2239365,
cross_region,gemma-4-26b-a4b,H,aiops2022,shippingservice-1,2,0.84941283,0.12776498,0.86538462,1,0.60871319,0.022213459,0.062818815,0.30625453,,0.92756296,0.47388713,1.3401347,1.2250181,
cross_region,gemma-4-26b-a4b,H,aiops2022,shippingservice2-0,1,0.86246723,0.082242041,0.92307692,1,0.63428296,0.021537107,0.035979736,0.3082002,,0.96652642,0.45945828,0.76756769,1.2328008,
cross_region,gemma-4-26b-a4b,H,aiops2025,adservice,14,0.85110254,0.14950256,0.81593407,1,0.58659278,0.021410492,0.055140052,0.33685668,,0.89385566,0.45675716,1.1763211,1.3474267,
cross_region,gemma-4-26b-a4b,H,aiops2025,cartservice,7,0.85087717,0.12615171,0.84615385,1,0.59346054,0.01977661,0.055961409,0.33080144,,0.90432082,0.42190102,1.1938434,1.3232058,
cross_region,gemma-4-26b-a4b,H,aiops2025,checkoutservice,17,0.85303443,0.12521698,0.85294118,1,0.59225506,0.022174918,0.043123634,0.34244639,,0.90248389,0.47306491,0.91997086,1.3697856,
cross_region,gemma-4-26b-a4b,H,aiops2025,currencyservice,4,0.85699596,0.11617478,0.86538462,1,0.6235118,0.024132354,0.036547444,0.31580841,,0.95011321,0.51482355,0.77967881,1.2632336,
cross_region,gemma-4-26b-a4b,H,aiops2025,emailservice,2,0.85874694,0.12668118,0.86538462,1,0.61081071,0.026650064,0.03869183,0.3238474,,0.93075918,0.56853471,0.82542571,1.2953896,
cross_region,gemma-4-26b-a4b,H,aiops2025,frontend,3,0.84892516,0.11826348,0.83333333,1,0.59275564,0.024660409,0.052709043,0.32987491,,0.92666078,0.52608874,1.1244596,1.2529603,
cross_region,gemma-4-26b-a4b,H,aiops2025,node-1,3,0.85774197,0.1303048,0.88461538,1,0.61234775,0.022554801,0.04631085,0.3187866,,0.93310133,0.48116908,0.9879648,1.2751464,
cross_region,gemma-4-26b-a4b,H,aiops2025,node-3,3,0.84943886,0.13901644,0.79487179,1,0.60548181,0.021650429,0.046184476,0.32668328,,0.92263895,0.46187581,0.98526883,1.3067331,
cross_region,gemma-4-26b-a4b,H,aiops2025,node-4,1,0.8585503,0.10311324,0.88461538,1,0.61373618,0.018703035,0.03811341,0.32944738,,0.93521703,0.39899808,0.81308607,1.3177895,
cross_region,gemma-4-26b-a4b,H,aiops2025,node-5,4,0.8515673,0.10703595,0.90384615,1,0.61961597,0.021458178,0.03567977,0.32324608,,0.94417671,0.45777447,0.76116843,1.2929843,
cross_region,gemma-4-26b-a4b,H,aiops2025,node-6,5,0.85423524,0.11968216,0.84615385,1,0.60126675,0.018229597,0.03702046,0.34348319,,0.916216,0.38889807,0.78976981,1.3739328,
cross_region,gemma-4-26b-a4b,H,aiops2025,node-7,2,0.85014273,0.086377331,0.90384615,1,0.6184824,0.018672094,0.031083949,0.33176155,,0.94244938,0.39833801,0.66312424,1.3270462,
cross_region,gemma-4-26b-a4b,H,aiops2025,node-8,4,0.85199493,0.13410385,0.83653846,1,0.59299343,0.023842152,0.037776415,0.345388,,0.90360904,0.50863258,0.80589686,1.381552,
cross_region,gemma-4-26b-a4b,H,aiops2025,paymentservice,1,0.84240546,0.11724032,0.88461538,1,0.60752843,0.028818511,0.042988897,0.32066416,,0.92575761,0.6147949,0.91709648,1.2826566,
cross_region,gemma-4-26b-a4b,H,aiops2025,productcatalogservice,4,0.8519317,0.14849566,0.81730769,1,0.60072759,0.018717103,0.037202123,0.34335318,,0.91539442,0.39929819,0.79364529,1.3734127,
cross_region,gemma-4-26b-a4b,H,aiops2025,recommendationservice,1,0.84443839,0.12837395,0.84615385,1,0.62181809,0.033679489,0.041804652,0.30269777,,0.94753232,0.71849576,0.89183259,1.2107911,
cross_region,gemma-4-26b-a4b,H,aiops2025,shippingservice,6,0.85056366,0.10484156,0.87820513,1,0.59888049,0.022040233,0.047592722,0.33148656,,0.91257979,0.47019163,1.0153114,1.3259462,
cross_region,gemma-4-26b-a4b,H,aiops2025,tidb-tidb,2,0.8449051,0.14877862,0.84615385,1,0.59844496,0.019936078,0.07740745,0.30421151,,0.91191613,0.425303,1.6513589,1.216846,
cross_region,gemma-4-26b-a4b,H,aiops2025,tidb-tikv,10,0.84950667,0.11024638,0.87307692,1,0.60122036,0.022472314,0.047315825,0.3289915,,0.91614531,0.47940938,1.0094043,1.315966,
cross_region,gemma-4-26b-a4b,H,re2_ob,checkoutservice,18,0.84523499,0.10747037,0.92735043,1,0.651588,0.023182528,0.046095185,0.27913429,,0.992896,0.4945606,0.98336395,1.1165371,
cross_region,gemma-4-26b-a4b,H,re2_ob,currencyservice,18,0.84495518,0.11488458,0.90598291,1,0.6365276,0.022031011,0.053200434,0.28824095,,0.96994682,0.4699949,1.1349426,1.1529638,
cross_region,gemma-4-26b-a4b,H,re2_ob,emailservice,18,0.84433615,0.10221464,0.93589744,1,0.64449223,0.026998851,0.046370304,0.28213862,,0.9820834,0.57597548,0.98923316,1.1285545,
cross_region,gemma-4-26b-a4b,H,re2_ob,productcatalogservice,18,0.84235786,0.11166572,0.91025641,1,0.64340777,0.02515378,0.050789922,0.28064853,,0.98043089,0.53661398,1.0835183,1.1225941,
cross_region,gemma-4-26b-a4b,H,re2_ob,recommendationservice,18,0.84497077,0.11048782,0.8974359,1,0.63923837,0.023600654,0.048228704,0.28893227,,0.97407752,0.50348061,1.028879,1.1557291,
cross_region,gemma-4-26b-a4b,H,re2_tt,ts-auth-service,18,0.85169401,0.13350503,0.84401709,1,0.60692858,0.021049693,0.057041405,0.31498032,,0.92484355,0.44906012,1.2168833,1.2599213,
cross_region,gemma-4-26b-a4b,H,re2_tt,ts-order-service,18,0.85434356,0.12859881,0.85470085,1,0.62737251,0.020829828,0.044813764,0.3069839,,0.96003838,0.44436967,0.95602695,1.2178053,
cross_region,gemma-4-26b-a4b,H,re2_tt,ts-route-service,18,0.8552461,0.12314876,0.89102564,1,0.63283773,0.020089831,0.042106334,0.3049661,,0.99951226,0.44741157,0.89826846,1.1377922,
cross_region,gemma-4-26b-a4b,H,re2_tt,ts-train-service,18,0.85168713,0.1191789,0.89316239,1,0.62878831,0.020608106,0.045047138,0.30555645,,1.0095972,0.4718786,0.96100561,1.0984571,
cross_region,gemma-4-26b-a4b,H,re2_tt,ts-travel-service,18,0.85366823,0.12375963,0.88461538,1,0.62525008,0.019170435,0.047299024,0.30828046,,0.96988846,0.4154594,1.0090459,1.1916957,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,mysql,6,0.87058571,0.45822708,0.69009475,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,ts-assurance-service,5,0.86917627,0.45709492,0.69971264,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,ts-auth-service,4,0.87548725,0.45557028,0.67752996,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,ts-basic-service,19,0.87499747,0.46886359,0.67984536,1,,,,1,,,,,1,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,ts-config-service,6,0.87219562,0.46946063,0.64551058,1,,,,1,,,,,1,
