experiment,model,arm,dataset,n,visual_requests,collected,normalized_attention_entropy,blank_attention_mass,top_10pct_evidence_precision,required_region_attention_mass,attn_M,attn_R,attn_L,attn_G,attn_ledger,focus_M,focus_R,focus_L,focus_G,focus_ledger,collection_rate
cross_region,gemma-4-26b-a4b,H,aegislab,96,96,96,0.85515886,0.11700995,0.86899038,1,0.63088041,0.022674831,0.043961346,0.30248341,,0.98097883,0.48779516,0.93784205,1.1617865,,1
cross_region,gemma-4-26b-a4b,H,aiops2022,100,100,100,0.84922037,0.12067264,0.86346154,1,0.62721024,0.023597138,0.043677172,0.30551545,,0.95650315,0.50340561,0.93177966,1.2202087,,1
cross_region,gemma-4-26b-a4b,H,aiops2025,93,93,93,0.85176395,0.12573234,0.85111663,1,0.59918697,0.021872934,0.046046439,0.33289365,,0.91380211,0.46662259,0.98232402,1.3294282,,1
cross_region,gemma-4-26b-a4b,H,re2_ob,90,90,90,0.84437099,0.10934463,0.91538462,1,0.6430508,0.024193365,0.04893691,0.28381893,,0.97988693,0.51612512,1.0439874,1.1352757,,1
cross_region,gemma-4-26b-a4b,H,re2_tt,90,90,90,0.85332781,0.12563822,0.87350427,1,0.62423544,0.020349579,0.047261533,0.30815345,,0.97277598,0.44563587,1.008246,1.1811343,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,96,96,96,0.87324004,0.46314133,0.6787974,1,,,,1,,,,,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,100,100,100,0.8747616,0.46070914,0.67565486,1,,,,1,,,,,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,93,93,93,0.87695176,0.4710151,0.64186947,1,,,,1,,,,,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,90,90,90,0.87246098,0.45766009,0.6427303,1,,,,1,,,,,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,90,90,90,0.86923276,0.47541886,0.62073095,1,,,,1,,,,,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,96,96,96,0.77534965,0.51543334,0.52043269,1,,,1,,,,,1,,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,100,100,100,0.78171704,0.50263248,0.55692308,1,,,1,,,,,1,,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,93,93,93,0.78669615,0.50874926,0.54177006,1,,,1,,,,,1,,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,90,90,90,0.77836742,0.50020056,0.55042735,1,,,1,,,,,1,,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,90,90,90,0.80059732,0.56811527,0.49401709,1,,,1,,,,,1,,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,96,96,96,0.84425383,0.44024048,0.67109375,1,,,0.41710533,0.58289467,,,,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,100,100,100,0.85054948,0.43235316,0.68232065,1,,,0.41148999,0.58851001,,,,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,93,93,93,0.85069363,0.44147921,0.66080252,1,,,0.42082583,0.57917417,,,,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_ob,90,90,90,0.84493746,0.43535239,0.66251197,1,,,0.42791983,0.57208017,,,,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_tt,90,90,90,0.85489419,0.46266716,0.64876096,1,,,0.39975506,0.60024494,,,,1,1,,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aegislab,96,96,96,0.75566274,0.72123855,0.26602564,1,,1,,,,,1,,,,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aiops2022,100,100,100,0.75351766,0.72453488,0.25807692,1,,1,,,,,1,,,,1
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aiops2025,93,93,93,0.75435317,0.73209161,0.26013234,1,,1,,,,,1,,,,1
