experiment,model,comparison,arm_a,arm_b,metric,family,n,delta,p,cohen_dz,improve,degrade,tie,p_holm
cross_region,gemma-4-26b-a4b,H - Mt-Rt-Lt-Gt,H,Mt-Rt-Lt-Gt,complete_chain_accuracy,cross_region_controls,289,0.042099193,0.00014551956,0.18369535,50,18,221,0.00014551956
cross_region,gemma-4-26b-a4b,P - Mt-Rt-Lt-Gt,P,Mt-Rt-Lt-Gt,complete_chain_accuracy,cross_region_controls,289,-0.18973472,1.4595939e-20,-0.60656319,9,110,170,2.9191877e-20
cross_region,gemma-4-26b-a4b,V - Mt-Rt-Lt-Gt,V,Mt-Rt-Lt-Gt,complete_chain_accuracy,cross_region_controls,289,-0.26470588,1.2024964e-24,-0.7303357,21,161,107,3.6074891e-24
cross_region,gemma-4-26b-a4b,G_visual_main_effect,Gv,Gt,complete_chain_accuracy,cross_region_factorial_main_effects,289,-0.060914072,2.2927135e-14,-0.47728294,48,140,101,9.1708538e-14
cross_region,gemma-4-26b-a4b,L_visual_main_effect,Lv,Lt,complete_chain_accuracy,cross_region_factorial_main_effects,289,-0.052696078,0.00014240841,-0.20854849,71,126,92,0.00028481682
cross_region,gemma-4-26b-a4b,M_visual_main_effect,Mv,Mt,complete_chain_accuracy,cross_region_factorial_main_effects,289,0.0035322953,0.88523473,0.03507233,85,92,112,0.88523473
cross_region,gemma-4-26b-a4b,R_visual_main_effect,Rv,Rt,complete_chain_accuracy,cross_region_factorial_main_effects,289,0.042603806,9.4570288e-08,0.33085817,129,60,100,2.8371086e-07
cross_region,gemma-4-26b-a4b,P1: H-T on Level2+3,H,Mt-Rt-Lt-Gt,mean_level2_3_accuracy,cross_region_reasoning_primary,138,0.10869565,2.1831462e-05,0.38589253,32,6,100,4.3662924e-05
cross_region,gemma-4-26b-a4b,P2: (H-T)L3 - (H-T)L1,depth_interaction,zero,accuracy_interaction,cross_region_reasoning_primary,138,0.16666667,0.0002626334,0.30404382,31,8,99,0.0002626334
cross_region,qwen3.6-27b,H - Mt-Rt-Lt-Gt,H,Mt-Rt-Lt-Gt,complete_chain_accuracy,cross_region_controls,289,0.037485582,0.00025605511,0.18398626,44,16,229,0.00025605511
cross_region,qwen3.6-27b,P - Mt-Rt-Lt-Gt,P,Mt-Rt-Lt-Gt,complete_chain_accuracy,cross_region_controls,289,-0.042675894,1.1946104e-05,-0.25558903,8,38,243,2.3892208e-05
cross_region,qwen3.6-27b,V - Mt-Rt-Lt-Gt,V,Mt-Rt-Lt-Gt,complete_chain_accuracy,cross_region_controls,289,-0.11534025,1.1676688e-09,-0.39287902,25,91,173,3.5030063e-09
