experiment,model,arm,dataset_scope,n,mean_text_tokens,sum_text_tokens,mean_image_tokens,sum_image_tokens,mean_input_tokens,sum_input_tokens,mean_output_tokens,sum_output_tokens,mean_total_tokens,sum_total_tokens,mean_model_calls,sum_model_calls,mean_incremental_total_tokens,mean_amortized_total_tokens,mean_amortized_model_calls
cross_region,gemma-4-26b-a4b,H,aegislab,96,19136.427,1837097,1085.8958,104246,20222.323,1941343,180.3125,17310,20402.635,1958653,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,96,19136.427,1837097,0,0,19136.427,1837097,173.13542,16621,19309.562,1853718,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,96,17553.875,1685172,2147.875,206196,19701.75,1891368,178.46875,17133,19880.219,1908501,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,96,18512.115,1777163,1109,106464,19621.115,1883627,179.125,17196,19800.24,1900823,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,96,16929.562,1625238,3256.875,312660,20186.438,1937898,182.25,17496,20368.688,1955394,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aegislab,96,18363.604,1762906,1109,106464,19472.604,1869370,177.16667,17008,19649.771,1886378,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aegislab,96,16781.052,1610981,3256.875,312660,20037.927,1923641,180.04167,17284,20217.969,1940925,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,aegislab,96,17739.292,1702972,2218,212928,19957.292,1915900,181.41667,17416,20138.708,1933316,1,96,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aegislab,96,16156.74,1551047,4365.875,419124,20522.615,1970171,185.5,17808,20708.115,1987979,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aegislab,96,3529.5938,338841,1091,104736,4620.5938,443577,175.6875,16866,4796.2812,460443,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aegislab,96,1947.0417,186916,3238.875,310932,5185.9167,497848,177.84375,17073,5363.7604,514921,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aegislab,96,2905.2812,278907,2200,211200,5105.2812,490107,181.23958,17399,5286.5208,507506,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aegislab,96,1322.7292,126982,4347.875,417396,5670.6042,544378,184.875,17748,5855.4792,562126,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aegislab,96,2756.7708,264650,2200,211200,4956.7708,475850,178.94792,17179,5135.7188,493029,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aegislab,96,1174.2188,112725,4347.875,417396,5522.0938,530121,182.60417,17530,5704.6979,547651,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aegislab,96,2132.4583,204716,3309,317664,5441.4583,522380,184.51042,17713,5625.9688,540093,1,96,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aegislab,96,550.90625,52887,5456.875,523860,6007.7812,576747,188.8125,18126,6196.5938,594873,1,96,,,
cross_region,gemma-4-26b-a4b,P,aegislab,96,550.90625,52887,6555.9688,629373,7106.875,682260,177.44792,17035,7284.3229,699295,1,96,,,
cross_region,gemma-4-26b-a4b,V,aegislab,96,550.90625,52887,1085.8958,104246,1636.8021,157133,185.29167,17788,1822.0938,174921,1,96,,,
cross_region,gemma-4-26b-a4b,H,aiops2022,100,20546.67,2054667,1084.28,108428,21630.95,2163095,120.7,12070,21751.65,2175165,1,100,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,100,20546.67,2054667,0,0,20546.67,2054667,118.89,11889,20665.56,2066556,1,100,,,
