experiment,model,comparison,dimension,value,repair_n,break_n,n,delta,p,cohen_dz,improve,degrade,tie
direct_rca,qwen3.6-27b,R - T,dataset,aegislab,4,12,96,-0.10763889,0.0013113958,-0.30534348,11,31,54
direct_rca,qwen3.6-27b,R - T,dataset,aiops2022,8,14,100,-0.052166667,0.048518059,-0.13404676,12,25,63
direct_rca,qwen3.6-27b,R - T,dataset,aiops2025,12,6,93,0.071146953,0.10678441,0.19616263,23,14,56
direct_rca,qwen3.6-27b,R - T,fault_type,ContainerKill,0,2,6,-0.33333333,0.25,-0.81649658,0,3,3
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPRequestAbort,1,0,6,0.17777778,0.375,0.50975064,3,1,2
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPRequestDelay,0,1,7,-0.14285714,0.5,-0.47745526,0,2,5
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPRequestReplaceMethod,1,4,15,-0.11666667,0.26325296,-0.26886171,2,5,8
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPRequestReplacePath,0,0,1,-0.25,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPResponseAbort,0,0,3,0,1,0,0,0,3
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPResponseDelay,1,1,7,-0.11904762,0.875,-0.24397502,2,2,3
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPResponseReplaceBody,0,0,2,-0.25,1,-0.70710678,0,1,1
direct_rca,qwen3.6-27b,R - T,fault_type,HTTPResponseReplaceCode,0,0,13,-0.008974359,0.90625,-0.072981367,3,3,7
direct_rca,qwen3.6-27b,R - T,fault_type,JVMException,0,0,3,-0.21111111,0.5,-0.81536804,0,2,1
direct_rca,qwen3.6-27b,R - T,fault_type,JVMLatency,0,0,1,-0.16666667,1,-inf,0,1,0
direct_rca,qwen3.6-27b,R - T,fault_type,JVMMemoryStress,0,2,14,-0.22857143,0.015364774,-0.63254846,0,6,8
direct_rca,qwen3.6-27b,R - T,fault_type,JVMReturn,0,0,2,0,1,0,0,0,2
