experiment,model,case_n,excluded_cases,all_ineligible_cases,exclusion_rate,passes_5pct
cross_region,gemma-4-26b-a4b,469,0,0,0,True
cross_region,qwen3.6-27b,469,0,0,0,True
cross_region,qwen3.8-27b,469,0,0,0,True
direct_rca,gemma-4-26b-a4b,469,0,0,0,True
direct_rca,qwen3.6-27b,469,0,0,0,True
direct_rca,qwen3.8-27b,469,0,0,0,True
ledger_handoff_rca,gemma-4-26b-a4b,469,0,0,0,True
ledger_handoff_rca,qwen3.6-27b,469,0,0,0,True
ledger_handoff_rca,qwen3.8-27b,469,0,0,0,True
legacy_q9,gemma-4-26b-a4b,469,0,0,0,True
legacy_q9,qwen3.6-27b,469,0,0,0,True
legacy_q9,qwen3.8-27b,469,0,0,0,True
matched_rca,gemma-4-26b-a4b,469,0,0,0,True
matched_rca,qwen3.6-27b,469,55,0,0.11727079,False
matched_rca,qwen3.8-27b,469,0,0,0,True
typed_two_stage,gemma-4-26b-a4b,469,0,0,0,True
typed_two_stage,qwen3.6-27b,469,0,0,0,True
typed_two_stage,qwen3.8-27b,469,0,0,0,True
visual_counterfactual_rca,gemma-4-26b-a4b,469,0,53,0,True
visual_counterfactual_rca,qwen3.6-27b,469,0,53,0,True
visual_counterfactual_rca,qwen3.8-27b,469,0,39,0,True
