experiment,model,arm,dataset_scope,n,case_n,complete_chain_accuracy,correct_prefix_accuracy,step_accuracy,query_membership_valid,level_1_complete_chain_accuracy,level_2_complete_chain_accuracy,level_3_complete_chain_accuracy,ac@1,ac@3,ac@5,avg@3,avg@5,mrr
cross_region,gemma-4-26b-a4b,H,aegislab,96,96,0.5625,0.71527778,0.66840278,1,0.95833333,0.26315789,0.44736842,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,96,96,0.52951389,0.62934028,0.54166667,1,0.96875,0.26315789,0.30263158,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,96,96,0.46354167,0.60329861,0.54166667,1,0.875,0.23157895,0.22368421,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,96,96,0.45138889,0.55324074,0.50520833,1,0.73958333,0.23157895,0.35526316,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,96,96,0.375,0.5,0.49131944,1,0.59375,0.23157895,0.27631579,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aegislab,96,96,0.58159722,0.74768519,0.69444444,1,0.97916667,0.26315789,0.48684211,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aegislab,96,96,0.55034722,0.73119213,0.70486111,1,0.875,0.26315789,0.52631579,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,aegislab,96,96,0.48958333,0.6634838,0.65104167,1,0.72916667,0.25263158,0.48684211,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aegislab,96,96,0.47569444,0.65769676,0.67534722,1,0.63541667,0.24210526,0.56578947,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aegislab,96,96,0.515625,0.6171875,0.53993056,1,0.95833333,0.26315789,0.27631579,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aegislab,96,96,0.47222222,0.59635417,0.546875,1,0.82291667,0.26315789,0.27631579,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aegislab,96,96,0.42708333,0.54282407,0.50520833,1,0.71875,0.24210526,0.27631579,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aegislab,96,96,0.39930556,0.52025463,0.49826389,1,0.625,0.23157895,0.31578947,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aegislab,96,96,0.56770833,0.76822917,0.72743056,1,0.98958333,0.26315789,0.42105263,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aegislab,96,96,0.49652778,0.71440972,0.68229167,1,0.875,0.25263158,0.31578947,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aegislab,96,96,0.46527778,0.66579861,0.65625,1,0.73958333,0.26315789,0.36842105,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aegislab,96,96,0.35763889,0.57378472,0.60243056,1,0.48958333,0.25263158,0.32894737,,,,,,
cross_region,gemma-4-26b-a4b,P,aegislab,96,96,0.36284722,0.46527778,0.38020833,1,0.8125,0.12631579,0.092105263,,,,,,
cross_region,gemma-4-26b-a4b,V,aegislab,96,96,0.25,0.46701389,0.48784722,1,0.40625,0.16842105,0.11842105,,,,,,
cross_region,gemma-4-26b-a4b,H,aiops2022,100,100,0.74833333,0.79861111,0.77833333,1,0.89,0.66666667,0.22222222,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,100,100,0.66333333,0.71277778,0.65833333,1,0.93,0.45833333,0,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,100,100,0.57833333,0.62527778,0.60333333,1,0.73,0.48958333,0.055555556,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,100,100,0.72833333,0.78833333,0.78,1,0.83,0.69791667,0.22222222,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,100,100,0.67,0.7375,0.74333333,1,0.73,0.6875,0.16666667,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aiops2022,100,100,0.685,0.74027778,0.7,1,0.88,0.51041667,0.38888889,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aiops2022,100,100,0.64166667,0.7025,0.68666667,1,0.77,0.53125,0.44444444,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gt,aiops2022,100,100,0.77833333,0.83527778,0.83666667,1,0.84,0.70833333,0.88888889,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lv-Gv,aiops2022,100,100,0.715,0.79416667,0.80333333,1,0.77,0.67708333,0.72222222,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gt,aiops2022,100,100,0.69666667,0.74361111,0.68166667,1,0.97,0.47916667,0.16666667,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lt-Gv,aiops2022,100,100,0.66,0.71111111,0.67333333,1,0.86,0.5,0.16666667,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gt,aiops2022,100,100,0.76833333,0.82444444,0.81666667,1,0.86,0.75,0.27777778,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rt-Lv-Gv,aiops2022,100,100,0.71,0.775,0.79,1,0.74,0.73958333,0.27777778,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gt,aiops2022,100,100,0.74166667,0.79,0.74166667,1,0.95,0.55208333,0.55555556,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lt-Gv,aiops2022,100,100,0.66833333,0.72388889,0.68833333,1,0.85,0.5,0.44444444,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gt,aiops2022,100,100,0.79666667,0.85805556,0.85333333,1,0.87,0.73958333,0.72222222,,,,,,
cross_region,gemma-4-26b-a4b,Mv-Rv-Lv-Gv,aiops2022,100,100,0.67166667,0.74944444,0.77666667,1,0.67,0.65625,0.88888889,,,,,,
cross_region,gemma-4-26b-a4b,P,aiops2022,100,100,0.50166667,0.56333333,0.525,1,0.79,0.25,0,,,,,,
cross_region,gemma-4-26b-a4b,V,aiops2022,100,100,0.48833333,0.60777778,0.635,1,0.52,0.44791667,0.44444444,,,,,,
cross_region,gemma-4-26b-a4b,H,aiops2025,93,93,0.82795699,0.8551374,0.84587814,1,0.93548387,0.88461538,0.43181818,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,93,93,0.82258065,0.84796894,0.82795699,1,0.96774194,0.84615385,0.27272727,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,93,93,0.76523297,0.80376344,0.79390681,1,0.87096774,0.83333333,0.34090909,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,93,93,0.6827957,0.74193548,0.73476703,1,0.80645161,0.70512821,0.27272727,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,93,93,0.63799283,0.69832736,0.71505376,1,0.67741935,0.70512821,0.36363636,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gt,aiops2025,93,93,0.89784946,0.9369773,0.92473118,1,0.98924731,0.87179487,0.63636364,,,,,,
cross_region,gemma-4-26b-a4b,Mt-Rv-Lt-Gv,aiops2025,93,93,0.84229391,0.88172043,0.88709677,1,0.86021505,0.87179487,0.75,,,,,,
