experiment,model,arm,dataset,n,overall,level1,level2,level3,query_id_valid,step_accuracy
cross_region,gemma-4-26b-a4b,H,aegislab,96,0.5625,0.95833333,0.26315789,0.44736842,1,0.66840278
cross_region,gemma-4-26b-a4b,H,aiops2022,100,0.74833333,0.89,0.66666667,0.22222222,1,0.77833333
cross_region,gemma-4-26b-a4b,H,aiops2025,93,0.82795699,0.93548387,0.88461538,0.43181818,1,0.84587814
cross_region,gemma-4-26b-a4b,H,re2_ob,90,0.58518519,0.91111111,0.47777778,0.36666667,1,0.67962963
cross_region,gemma-4-26b-a4b,H,re2_tt,90,0.67592593,0.95555556,0.51685393,0.54545455,1,0.76481481
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,96,0.52951389,0.96875,0.26315789,0.30263158,1,0.54166667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,100,0.66333333,0.93,0.45833333,0,1,0.65833333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,93,0.82258065,0.96774194,0.84615385,0.27272727,1,0.82795699
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,90,0.53703704,0.93333333,0.45555556,0.22222222,1,0.57222222
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,90,0.58703704,0.93333333,0.47191011,0.34090909,1,0.58888889
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aegislab,96,0.46354167,0.875,0.23157895,0.22368421,1,0.54166667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2022,100,0.57833333,0.73,0.48958333,0.055555556,1,0.60333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,aiops2025,93,0.76523297,0.87096774,0.83333333,0.34090909,1,0.79390681
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_ob,90,0.53703704,0.92222222,0.45555556,0.23333333,1,0.6037037
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gv,re2_tt,90,0.53518519,0.82222222,0.42696629,0.34090909,1,0.63148148
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aegislab,96,0.45138889,0.73958333,0.23157895,0.35526316,1,0.50520833
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2022,100,0.72833333,0.83,0.69791667,0.22222222,1,0.78
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,aiops2025,93,0.6827957,0.80645161,0.70512821,0.27272727,1,0.73476703
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_ob,90,0.54814815,0.91111111,0.5,0.23333333,1,0.60740741
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gt,re2_tt,90,0.51296296,0.73333333,0.42696629,0.36363636,1,0.59259259
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aegislab,96,0.375,0.59375,0.23157895,0.27631579,1,0.49131944
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2022,100,0.67,0.73,0.6875,0.16666667,1,0.74333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,aiops2025,93,0.63799283,0.67741935,0.70512821,0.36363636,1,0.71505376
cross_region,gemma-4-26b-a4b,Mt-Rt-Lv-Gv,re2_ob,90,0.51481481,0.83333333,0.46666667,0.24444444,1,0.59814815
