experiment,model,arm,dataset,template,n,accuracy
cross_region,gemma-4-26b-a4b,H,aegislab,G_direct_read,20,1
cross_region,gemma-4-26b-a4b,H,aegislab,G_locator_chain,18,0.22222222
cross_region,gemma-4-26b-a4b,H,aegislab,L_direct_read,27,0.92592593
cross_region,gemma-4-26b-a4b,H,aegislab,M_G_link,31,0
cross_region,gemma-4-26b-a4b,H,aegislab,M_L_link,3,1
cross_region,gemma-4-26b-a4b,H,aegislab,M_R_link,22,1
cross_region,gemma-4-26b-a4b,H,aegislab,M_direct_read,26,1
cross_region,gemma-4-26b-a4b,H,aegislab,M_locator_chain,32,0.5625
cross_region,gemma-4-26b-a4b,H,aegislab,R_G_link,39,0
cross_region,gemma-4-26b-a4b,H,aegislab,R_direct_read,23,0.91304348
cross_region,gemma-4-26b-a4b,H,aegislab,R_locator_chain,26,0.46153846
cross_region,gemma-4-26b-a4b,H,aiops2022,G_direct_read,21,1
cross_region,gemma-4-26b-a4b,H,aiops2022,L_R_link,41,0.6097561
cross_region,gemma-4-26b-a4b,H,aiops2022,L_direct_read,27,0.59259259
cross_region,gemma-4-26b-a4b,H,aiops2022,L_locator_chain,4,0.25
cross_region,gemma-4-26b-a4b,H,aiops2022,M_G_link,16,0
cross_region,gemma-4-26b-a4b,H,aiops2022,M_L_link,15,1
cross_region,gemma-4-26b-a4b,H,aiops2022,M_R_link,24,1
cross_region,gemma-4-26b-a4b,H,aiops2022,M_direct_read,23,1
cross_region,gemma-4-26b-a4b,H,aiops2022,M_locator_chain,8,0.125
cross_region,gemma-4-26b-a4b,H,aiops2022,R_direct_read,29,1
cross_region,gemma-4-26b-a4b,H,aiops2022,R_locator_chain,6,0.33333333
cross_region,gemma-4-26b-a4b,H,aiops2025,G_direct_read,24,1
cross_region,gemma-4-26b-a4b,H,aiops2025,G_locator_chain,16,0.375
cross_region,gemma-4-26b-a4b,H,aiops2025,L_direct_read,25,0.76
cross_region,gemma-4-26b-a4b,H,aiops2025,M_G_link,2,0
cross_region,gemma-4-26b-a4b,H,aiops2025,M_L_link,36,1
cross_region,gemma-4-26b-a4b,H,aiops2025,M_R_link,33,1
cross_region,gemma-4-26b-a4b,H,aiops2025,M_direct_read,25,1
cross_region,gemma-4-26b-a4b,H,aiops2025,M_locator_chain,14,0.57142857
cross_region,gemma-4-26b-a4b,H,aiops2025,R_G_link,7,0
cross_region,gemma-4-26b-a4b,H,aiops2025,R_direct_read,19,1
cross_region,gemma-4-26b-a4b,H,aiops2025,R_locator_chain,14,0.35714286
cross_region,gemma-4-26b-a4b,H,re2_ob,G_direct_read,26,1
cross_region,gemma-4-26b-a4b,H,re2_ob,G_locator_chain,27,0.37037037
cross_region,gemma-4-26b-a4b,H,re2_ob,L_G_link,12,0
cross_region,gemma-4-26b-a4b,H,re2_ob,L_R_link,10,0.8
cross_region,gemma-4-26b-a4b,H,re2_ob,L_direct_read,23,0.65217391
cross_region,gemma-4-26b-a4b,H,re2_ob,L_locator_chain,15,0.4
cross_region,gemma-4-26b-a4b,H,re2_ob,M_G_link,14,0
cross_region,gemma-4-26b-a4b,H,re2_ob,M_L_link,27,0.96296296
cross_region,gemma-4-26b-a4b,H,re2_ob,M_R_link,10,0.9
cross_region,gemma-4-26b-a4b,H,re2_ob,M_direct_read,16,1
cross_region,gemma-4-26b-a4b,H,re2_ob,M_locator_chain,18,0.5
cross_region,gemma-4-26b-a4b,H,re2_ob,R_G_link,17,0
cross_region,gemma-4-26b-a4b,H,re2_ob,R_direct_read,25,1
cross_region,gemma-4-26b-a4b,H,re2_ob,R_locator_chain,30,0.26666667
cross_region,gemma-4-26b-a4b,H,re2_tt,G_direct_read,29,1
cross_region,gemma-4-26b-a4b,H,re2_tt,G_locator_chain,31,0.41935484
cross_region,gemma-4-26b-a4b,H,re2_tt,L_G_link,8,0
cross_region,gemma-4-26b-a4b,H,re2_tt,L_R_link,10,1
cross_region,gemma-4-26b-a4b,H,re2_tt,L_direct_read,23,0.86956522
cross_region,gemma-4-26b-a4b,H,re2_tt,L_locator_chain,11,0.72727273
cross_region,gemma-4-26b-a4b,H,re2_tt,M_G_link,15,0
cross_region,gemma-4-26b-a4b,H,re2_tt,M_L_link,12,1
cross_region,gemma-4-26b-a4b,H,re2_tt,M_R_link,24,1
cross_region,gemma-4-26b-a4b,H,re2_tt,M_direct_read,21,1
cross_region,gemma-4-26b-a4b,H,re2_tt,M_locator_chain,24,0.66666667
cross_region,gemma-4-26b-a4b,H,re2_tt,R_G_link,20,0
cross_region,gemma-4-26b-a4b,H,re2_tt,R_direct_read,17,0.94117647
cross_region,gemma-4-26b-a4b,H,re2_tt,R_locator_chain,22,0.5
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,G_direct_read,20,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,G_locator_chain,18,0.16666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,L_direct_read,27,0.96296296
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,M_G_link,31,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,M_L_link,3,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,M_R_link,22,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,M_direct_read,26,0.96153846
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,M_locator_chain,32,0.625
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,R_G_link,39,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,R_direct_read,23,0.95652174
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aegislab,R_locator_chain,26,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,G_direct_read,21,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,L_R_link,41,0.19512195
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,L_direct_read,27,0.74074074
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,L_locator_chain,4,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,M_G_link,16,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,M_L_link,15,0.93333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,M_R_link,24,0.91666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,M_direct_read,23,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,M_locator_chain,8,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,R_direct_read,29,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2022,R_locator_chain,6,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,G_direct_read,24,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,G_locator_chain,16,0.25
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,L_direct_read,25,0.92
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,M_G_link,2,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,M_L_link,36,0.97222222
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,M_R_link,33,0.93939394
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,M_direct_read,25,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,M_locator_chain,14,0.57142857
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,R_G_link,7,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,R_direct_read,19,0.94736842
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,aiops2025,R_locator_chain,14,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,G_direct_read,26,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,G_locator_chain,27,0.25925926
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,L_G_link,12,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,L_R_link,10,0.4
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,L_direct_read,23,0.7826087
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,L_locator_chain,15,0.13333333
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,M_G_link,14,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,M_L_link,27,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,M_R_link,10,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,M_direct_read,16,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,M_locator_chain,18,0.5
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,R_G_link,17,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,R_direct_read,25,0.96
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_ob,R_locator_chain,30,0.066666667
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,G_direct_read,29,1
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,G_locator_chain,31,0.29032258
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,L_G_link,8,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,L_R_link,10,0.6
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,L_direct_read,23,0.7826087
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,L_locator_chain,11,0.27272727
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,M_G_link,15,0
cross_region,gemma-4-26b-a4b,Mt-Rt-Lt-Gt,re2_tt,M_L_link,12,1
