experiment,model,arm,dataset,n,supported,unsupported,binding_rate
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aegislab,96,1519,3,0.99802891
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2022,100,1569,12,0.99240987
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,aiops2025,93,1476,9,0.99393939
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_ob,90,1434,6,0.99583333
ledger_handoff_rca,gemma-4-26b-a4b,L_hyb,re2_tt,90,1423,6,0.99580126
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aegislab,96,1519,3,0.99802891
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2022,100,1569,12,0.99240987
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,aiops2025,93,1476,9,0.99393939
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_ob,90,1434,6,0.99583333
ledger_handoff_rca,gemma-4-26b-a4b,L_txt,re2_tt,90,1423,6,0.99580126
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aegislab,96,1519,3,0.99802891
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2022,100,1569,12,0.99240987
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,aiops2025,93,1476,9,0.99393939
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_ob,90,1434,6,0.99583333
ledger_handoff_rca,gemma-4-26b-a4b,L_vis,re2_tt,90,1423,6,0.99580126
ledger_handoff_rca,qwen3.6-27b,L_hyb,aegislab,96,1280,36,0.97264438
ledger_handoff_rca,qwen3.6-27b,L_hyb,aiops2022,100,1265,73,0.94544096
ledger_handoff_rca,qwen3.6-27b,L_hyb,aiops2025,93,1228,44,0.96540881
ledger_handoff_rca,qwen3.6-27b,L_hyb,re2_ob,90,1105,19,0.98309609
ledger_handoff_rca,qwen3.6-27b,L_hyb,re2_tt,90,1172,28,0.97666667
ledger_handoff_rca,qwen3.6-27b,L_txt,aegislab,96,1280,36,0.97264438
ledger_handoff_rca,qwen3.6-27b,L_txt,aiops2022,100,1265,73,0.94544096
ledger_handoff_rca,qwen3.6-27b,L_txt,aiops2025,93,1228,44,0.96540881
ledger_handoff_rca,qwen3.6-27b,L_txt,re2_ob,90,1105,19,0.98309609
ledger_handoff_rca,qwen3.6-27b,L_txt,re2_tt,90,1172,28,0.97666667
ledger_handoff_rca,qwen3.6-27b,L_vis,aegislab,96,1280,36,0.97264438
ledger_handoff_rca,qwen3.6-27b,L_vis,aiops2022,100,1265,73,0.94544096
ledger_handoff_rca,qwen3.6-27b,L_vis,aiops2025,93,1228,44,0.96540881
ledger_handoff_rca,qwen3.6-27b,L_vis,re2_ob,90,1105,19,0.98309609
ledger_handoff_rca,qwen3.6-27b,L_vis,re2_tt,90,1172,28,0.97666667
ledger_handoff_rca,qwen3.8-27b,L_hyb,aegislab,96,942,21,0.97819315
ledger_handoff_rca,qwen3.8-27b,L_hyb,aiops2022,100,881,22,0.97563677
ledger_handoff_rca,qwen3.8-27b,L_hyb,aiops2025,93,944,19,0.98026999
ledger_handoff_rca,qwen3.8-27b,L_hyb,re2_ob,90,917,8,0.99135135
ledger_handoff_rca,qwen3.8-27b,L_hyb,re2_tt,90,824,15,0.98212157
ledger_handoff_rca,qwen3.8-27b,L_txt,aegislab,96,942,21,0.97819315
ledger_handoff_rca,qwen3.8-27b,L_txt,aiops2022,100,881,22,0.97563677
ledger_handoff_rca,qwen3.8-27b,L_txt,aiops2025,93,944,19,0.98026999
ledger_handoff_rca,qwen3.8-27b,L_txt,re2_ob,90,917,8,0.99135135
ledger_handoff_rca,qwen3.8-27b,L_txt,re2_tt,90,824,15,0.98212157
ledger_handoff_rca,qwen3.8-27b,L_vis,aegislab,96,942,21,0.97819315
ledger_handoff_rca,qwen3.8-27b,L_vis,aiops2022,100,881,22,0.97563677
ledger_handoff_rca,qwen3.8-27b,L_vis,aiops2025,93,944,19,0.98026999
ledger_handoff_rca,qwen3.8-27b,L_vis,re2_ob,90,917,8,0.99135135
ledger_handoff_rca,qwen3.8-27b,L_vis,re2_tt,90,824,15,0.98212157
matched_rca,gemma-4-26b-a4b,F,aegislab,96,1525,2,0.99869024
matched_rca,gemma-4-26b-a4b,F,aiops2022,100,1583,6,0.99622404
matched_rca,gemma-4-26b-a4b,F,aiops2025,93,1468,16,0.98921833
matched_rca,gemma-4-26b-a4b,F,re2_ob,90,1418,19,0.98677801
matched_rca,gemma-4-26b-a4b,F,re2_tt,90,1429,7,0.99512535
matched_rca,gemma-4-26b-a4b,H,aegislab,96,1526,3,0.99803793
matched_rca,gemma-4-26b-a4b,H,aiops2022,100,1591,6,0.99624296
matched_rca,gemma-4-26b-a4b,H,aiops2025,93,1479,4,0.99730276
