experiment,model,arm,dataset,outcome_class,n
direct_rca,gemma-4-26b-a4b,F,aegislab,rank_2_3,10
direct_rca,gemma-4-26b-a4b,F,aegislab,rank_4_5,1
direct_rca,gemma-4-26b-a4b,F,aegislab,top1_correct,45
direct_rca,gemma-4-26b-a4b,F,aegislab,top5_miss,40
direct_rca,gemma-4-26b-a4b,F,aiops2022,rank_2_3,10
direct_rca,gemma-4-26b-a4b,F,aiops2022,rank_4_5,3
direct_rca,gemma-4-26b-a4b,F,aiops2022,top1_correct,36
direct_rca,gemma-4-26b-a4b,F,aiops2022,top5_miss,51
direct_rca,gemma-4-26b-a4b,F,aiops2025,rank_2_3,13
direct_rca,gemma-4-26b-a4b,F,aiops2025,rank_4_5,6
direct_rca,gemma-4-26b-a4b,F,aiops2025,top1_correct,15
direct_rca,gemma-4-26b-a4b,F,aiops2025,top5_miss,59
direct_rca,gemma-4-26b-a4b,F,re2_ob,rank_2_3,23
direct_rca,gemma-4-26b-a4b,F,re2_ob,rank_4_5,1
direct_rca,gemma-4-26b-a4b,F,re2_ob,top1_correct,63
direct_rca,gemma-4-26b-a4b,F,re2_ob,top5_miss,3
direct_rca,gemma-4-26b-a4b,F,re2_tt,rank_2_3,15
direct_rca,gemma-4-26b-a4b,F,re2_tt,rank_4_5,1
direct_rca,gemma-4-26b-a4b,F,re2_tt,top1_correct,58
direct_rca,gemma-4-26b-a4b,F,re2_tt,top5_miss,16
direct_rca,gemma-4-26b-a4b,H,aegislab,rank_2_3,11
direct_rca,gemma-4-26b-a4b,H,aegislab,rank_4_5,2
direct_rca,gemma-4-26b-a4b,H,aegislab,top1_correct,34
direct_rca,gemma-4-26b-a4b,H,aegislab,top5_miss,49
direct_rca,gemma-4-26b-a4b,H,aiops2022,rank_2_3,19
direct_rca,gemma-4-26b-a4b,H,aiops2022,rank_4_5,4
direct_rca,gemma-4-26b-a4b,H,aiops2022,top1_correct,30
direct_rca,gemma-4-26b-a4b,H,aiops2022,top5_miss,47
direct_rca,gemma-4-26b-a4b,H,aiops2025,rank_2_3,11
direct_rca,gemma-4-26b-a4b,H,aiops2025,rank_4_5,5
direct_rca,gemma-4-26b-a4b,H,aiops2025,top1_correct,19
direct_rca,gemma-4-26b-a4b,H,aiops2025,top5_miss,58
direct_rca,gemma-4-26b-a4b,H,re2_ob,rank_2_3,26
direct_rca,gemma-4-26b-a4b,H,re2_ob,rank_4_5,5
direct_rca,gemma-4-26b-a4b,H,re2_ob,top1_correct,53
direct_rca,gemma-4-26b-a4b,H,re2_ob,top5_miss,6
direct_rca,gemma-4-26b-a4b,H,re2_tt,rank_2_3,18
direct_rca,gemma-4-26b-a4b,H,re2_tt,rank_4_5,5
direct_rca,gemma-4-26b-a4b,H,re2_tt,top1_correct,52
direct_rca,gemma-4-26b-a4b,H,re2_tt,top5_miss,15
direct_rca,gemma-4-26b-a4b,P,aegislab,top1_correct,23
direct_rca,gemma-4-26b-a4b,P,aegislab,top5_miss,73
direct_rca,gemma-4-26b-a4b,P,aiops2022,rank_2_3,2
direct_rca,gemma-4-26b-a4b,P,aiops2022,rank_4_5,2
direct_rca,gemma-4-26b-a4b,P,aiops2022,top1_correct,26
direct_rca,gemma-4-26b-a4b,P,aiops2022,top5_miss,70
direct_rca,gemma-4-26b-a4b,P,aiops2025,rank_2_3,1
direct_rca,gemma-4-26b-a4b,P,aiops2025,top1_correct,14
direct_rca,gemma-4-26b-a4b,P,aiops2025,top5_miss,78
direct_rca,gemma-4-26b-a4b,P,re2_ob,rank_2_3,1
direct_rca,gemma-4-26b-a4b,P,re2_ob,top1_correct,49
direct_rca,gemma-4-26b-a4b,P,re2_ob,top5_miss,40
direct_rca,gemma-4-26b-a4b,P,re2_tt,top1_correct,30
direct_rca,gemma-4-26b-a4b,P,re2_tt,top5_miss,60
direct_rca,gemma-4-26b-a4b,R,aegislab,rank_2_3,10
direct_rca,gemma-4-26b-a4b,R,aegislab,rank_4_5,1
direct_rca,gemma-4-26b-a4b,R,aegislab,top1_correct,40
direct_rca,gemma-4-26b-a4b,R,aegislab,top5_miss,45
direct_rca,gemma-4-26b-a4b,R,aiops2022,rank_2_3,12
direct_rca,gemma-4-26b-a4b,R,aiops2022,rank_4_5,2
direct_rca,gemma-4-26b-a4b,R,aiops2022,top1_correct,22
direct_rca,gemma-4-26b-a4b,R,aiops2022,top5_miss,64
direct_rca,gemma-4-26b-a4b,R,aiops2025,rank_2_3,7
direct_rca,gemma-4-26b-a4b,R,aiops2025,rank_4_5,2
direct_rca,gemma-4-26b-a4b,R,aiops2025,top1_correct,18
direct_rca,gemma-4-26b-a4b,R,aiops2025,top5_miss,66
direct_rca,gemma-4-26b-a4b,R,re2_ob,rank_2_3,10
direct_rca,gemma-4-26b-a4b,R,re2_ob,rank_4_5,1
direct_rca,gemma-4-26b-a4b,R,re2_ob,top1_correct,68
direct_rca,gemma-4-26b-a4b,R,re2_ob,top5_miss,11
direct_rca,gemma-4-26b-a4b,R,re2_tt,rank_2_3,10
direct_rca,gemma-4-26b-a4b,R,re2_tt,rank_4_5,2
direct_rca,gemma-4-26b-a4b,R,re2_tt,top1_correct,53
direct_rca,gemma-4-26b-a4b,R,re2_tt,top5_miss,25
direct_rca,gemma-4-26b-a4b,T,aegislab,rank_2_3,14
direct_rca,gemma-4-26b-a4b,T,aegislab,rank_4_5,6
direct_rca,gemma-4-26b-a4b,T,aegislab,top1_correct,40
direct_rca,gemma-4-26b-a4b,T,aegislab,top5_miss,36
direct_rca,gemma-4-26b-a4b,T,aiops2022,rank_2_3,17
direct_rca,gemma-4-26b-a4b,T,aiops2022,rank_4_5,3
