experiment,model,arm,dataset,fault_type,n,ac1,ac3,ac5,mrr,unknown_ids
direct_rca,gemma-4-26b-a4b,F,aegislab,ContainerKill,6,0.66666667,0.83333333,0.83333333,0.72222222,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPRequestAbort,6,0.16666667,0.33333333,0.33333333,0.25,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPRequestDelay,7,0,0.28571429,0.42857143,0.14761905,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPRequestReplaceMethod,15,0.53333333,0.53333333,0.53333333,0.53333333,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPRequestReplacePath,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPResponseAbort,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPResponseDelay,7,0,0.14285714,0.14285714,0.071428571,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPResponseReplaceBody,2,0.5,0.5,0.5,0.5,0
direct_rca,gemma-4-26b-a4b,F,aegislab,HTTPResponseReplaceCode,13,0.53846154,0.53846154,0.53846154,0.53846154,0
direct_rca,gemma-4-26b-a4b,F,aegislab,JVMException,3,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,F,aegislab,JVMLatency,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,F,aegislab,JVMMemoryStress,14,0.78571429,0.92857143,0.92857143,0.85714286,0
direct_rca,gemma-4-26b-a4b,F,aegislab,JVMReturn,2,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,F,aegislab,NetworkBandwidth,2,0.5,1,1,0.66666667,0
direct_rca,gemma-4-26b-a4b,F,aegislab,NetworkCorrupt,2,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,F,aegislab,NetworkDelay,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,F,aegislab,NetworkLoss,3,0,0.33333333,0.33333333,0.16666667,0
direct_rca,gemma-4-26b-a4b,F,aegislab,NetworkPartition,6,0.5,0.66666667,0.66666667,0.55555556,0
direct_rca,gemma-4-26b-a4b,F,aegislab,PodFailure,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,F,aegislab,PodKill,1,1,1,1,1,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器cpu负载,9,0.55555556,0.66666667,0.66666667,0.59259259,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器内存负载,8,0.375,0.375,0.5,0.40625,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器写io负载,4,0.5,0.5,0.75,0.5625,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器网络丢包,9,0.33333333,0.44444444,0.44444444,0.38888889,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器网络延迟,10,0.1,0.3,0.4,0.22,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器网络资源包损坏,10,0.3,0.4,0.4,0.33333333,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器网络资源包重复发送,7,0,0.28571429,0.28571429,0.11904762,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器读io负载,9,0.44444444,0.55555556,0.55555556,0.5,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,k8s容器进程中止,5,0.6,0.8,0.8,0.66666667,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,node 内存消耗,5,0.2,0.2,0.2,0.2,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,node 磁盘写IO消耗,6,0.66666667,0.66666667,0.66666667,0.66666667,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,node 磁盘空间消耗,5,0.8,0.8,0.8,0.8,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,node 磁盘读IO消耗,5,0.4,0.4,0.4,0.4,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,node节点CPU故障,5,0.2,0.4,0.4,0.3,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,node节点CPU爬升,3,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,code error,1,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,cpu stress,8,0,0,0.125,0.03125,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,dns error,5,0,0,0,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,io fault,5,0.6,1,1,0.8,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,jvm cpu,3,0.66666667,0.66666667,0.66666667,0.66666667,0
direct_rca,gemma-4-26b-a4b,F,aiops2025,jvm exception,3,0.33333333,0.33333333,0.66666667,0.4,0
