experiment,model,arm,dataset,root_service,n,ac1,mrr
direct_rca,gemma-4-26b-a4b,F,aegislab,mysql,6,0.66666667,0.80555556
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-assurance-service,5,0.8,0.9
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-auth-service,4,0.75,0.75
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-basic-service,19,0.31578947,0.31578947
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-config-service,6,0.16666667,0.25
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-consign-service,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-contacts-service,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-food-service,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-inside-payment-service,2,1,1
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-order-other-service,4,0.25,0.375
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-order-service,5,0.6,0.6
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-preserve-service,5,0.4,0.4
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-price-service,2,1,1
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-route-plan-service,6,0.5,0.5
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-route-service,4,0.25,0.45833333
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-seat-service,6,0.16666667,0.25555556
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-security-service,1,1,1
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-station-food-service,1,1,1
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-station-service,1,1,1
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-train-service,2,0,0.25
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-travel-plan-service,3,0.66666667,0.66666667
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-travel-service,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-travel2-service,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-user-service,1,1,1
direct_rca,gemma-4-26b-a4b,F,aegislab,ts-verification-code-service,1,0,0.33333333
direct_rca,gemma-4-26b-a4b,F,aiops2022,adservice,2,0.5,0.6
direct_rca,gemma-4-26b-a4b,F,aiops2022,adservice-0,1,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2022,adservice-1,3,0.33333333,0.44444444
direct_rca,gemma-4-26b-a4b,F,aiops2022,adservice2-0,1,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2022,cartservice,5,0.2,0.4
direct_rca,gemma-4-26b-a4b,F,aiops2022,cartservice-0,2,0,0.25
direct_rca,gemma-4-26b-a4b,F,aiops2022,cartservice2-0,1,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,checkoutservice,4,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2022,checkoutservice-0,2,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2022,checkoutservice-1,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,F,aiops2022,currencyservice,2,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,currencyservice-0,1,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,currencyservice-1,2,0.5,0.5
direct_rca,gemma-4-26b-a4b,F,aiops2022,currencyservice-2,2,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2022,emailservice,4,0,0.20833333
direct_rca,gemma-4-26b-a4b,F,aiops2022,emailservice-1,2,0,0.125
direct_rca,gemma-4-26b-a4b,F,aiops2022,frontend,3,0,0.11111111
direct_rca,gemma-4-26b-a4b,F,aiops2022,frontend-0,1,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2022,frontend-1,1,0,0.25
direct_rca,gemma-4-26b-a4b,F,aiops2022,frontend-2,1,0,0
direct_rca,gemma-4-26b-a4b,F,aiops2022,frontend2-0,1,1,1
direct_rca,gemma-4-26b-a4b,F,aiops2022,node-1,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,F,aiops2022,node-2,3,0.33333333,0.33333333
direct_rca,gemma-4-26b-a4b,F,aiops2022,node-3,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,F,aiops2022,node-4,4,0.25,0.25
direct_rca,gemma-4-26b-a4b,F,aiops2022,node-5,8,0.375,0.375
direct_rca,gemma-4-26b-a4b,F,aiops2022,node-6,7,0.71428571,0.78571429
